species,resp_var,response_label,model_id,treatment,component,estimate_raw,estimate,display_sign,estimate_raw_boot_mean,estimate_boot_mean,lower_raw,upper_raw,lower,upper,p_boot,n_boot
fagus,remaining_green,Senescence (%),fagus__remaining_green,robinia,indirect,0.014958042248439255,0.014958042248439255,1,0.014662441689262964,0.014662441689262964,-0.0019484512030888378,0.039066431003273186,-0.0019484512030888378,0.039066431003273186,0.07792207792207792,1000
fagus,remaining_green,Senescence (%),fagus__remaining_green,robinia,total,-1.2875594679047828,-1.2875594679047828,1,-1.2869534459681742,-1.2869534459681742,-1.372885439724572,-1.1886282781747421,-1.372885439724572,-1.1886282781747421,0.001998001998001998,1000
fagus,remaining_green,Senescence (%),fagus__remaining_green,robinia,treatment_to_swc,-0.2868478426057872,-0.2868478426057872,1,-0.28338528193504053,-0.28338528193504053,-0.4844611314592469,-0.07185027316054335,-0.4844611314592469,-0.07185027316054335,0.007992007992007992,1000
fagus,volume,Volume (total),fagus__volume,culture,direct,0.25632522051351875,0.25632522051351875,1,0.2510199752555971,0.2510199752555971,0.0470319921760135,0.4575518718799245,0.0470319921760135,0.4575518718799245,0.01998001998001998,1000
fagus,volume,Volume (total),fagus__volume,culture,indirect,0.0015058986757610032,0.0015058986757610032,1,0.0016007738309300457,0.0016007738309300457,-0.0043445630079520445,0.009504556595875716,-0.0043445630079520445,0.009504556595875716,0.6713286713286714,1000
fagus,volume,Volume (total),fagus__volume,culture,total,0.25783111918927976,0.25783111918927976,1,0.25262074908652715,0.25262074908652715,0.04627685170406228,0.4611454946860839,0.04627685170406228,0.4611454946860839,0.017982017982017984,1000
fagus,volume,Volume (total),fagus__volume,culture,treatment_to_swc,0.04121039031334197,0.04121039031334197,1,0.03975072411280165,0.03975072411280165,-0.12117385332304224,0.20761388888512256,-0.12117385332304224,0.20761388888512256,0.6693306693306693,1000
fagus,volume,Volume (total),fagus__volume,extreme_event,direct,0.15144987392648718,0.15144987392648718,1,0.15268569322206732,0.15268569322206732,0.09515968483809688,0.21742141412975996,0.09515968483809688,0.21742141412975996,0.001998001998001998,1000
fagus,volume,Volume (total),fagus__volume,extreme_event,indirect,-0.0037130893278042227,-0.0037130893278042227,1,-0.004070762545140043,-0.004070762545140043,-0.012247032859209746,6.543571511849578e-4,-0.012247032859209746,6.543571511849578e-4,0.13186813186813187,1000
fagus,volume,Volume (total),fagus__volume,extreme_event,total,0.14773678459868295,0.14773678459868295,1,0.14861493067692727,0.14861493067692727,0.09423057835637208,0.21041166493740682,0.09423057835637208,0.21041166493740682,0.001998001998001998,1000
fagus,volume,Volume (total),fagus__volume,extreme_event,treatment_to_swc,-0.10161232155263653,-0.10161232155263653,1,-0.10230829021687098,-0.10230829021687098,-0.2298250413086002,0.023716263569024842,-0.2298250413086002,0.023716263569024842,0.12187812187812187,1000
fagus,volume,Volume (total),fagus__volume,precipitation,direct,-0.2915336881258884,-0.2915336881258884,1,-0.2871908336170035,-0.2871908336170035,-0.45544373964947454,-0.10342063265618359,-0.45544373964947454,-0.10342063265618359,0.007992007992007992,1000
fagus,volume,Volume (total),fagus__volume,precipitation,indirect,-0.025917267479392304,-0.025917267479392304,1,-0.02621216551281691,-0.02621216551281691,-0.04925691229343655,-0.004600901523849279,-0.04925691229343655,-0.004600901523849279,0.011988011988011988,1000
fagus,volume,Volume (total),fagus__volume,precipitation,total,-0.31745095560528075,-0.31745095560528075,1,-0.3134029991298204,-0.3134029991298204,-0.4869793499496833,-0.12495394598914925,-0.4869793499496833,-0.12495394598914925,0.003996003996003996,1000
fagus,volume,Volume (total),fagus__volume,precipitation,treatment_to_swc,-0.7092513765186087,-0.7092513765186087,1,-0.7096288913535304,-0.7096288913535304,-0.8726716240040338,-0.5279637871649998,-0.8726716240040338,-0.5279637871649998,0.001998001998001998,1000
fagus,volume,Volume (total),fagus__volume,robinia,direct,-0.5753178056901358,-0.5753178056901358,1,-0.5836052685829923,-0.5836052685829923,-0.8001282960634805,-0.38550021968198006,-0.8001282960634805,-0.38550021968198006,0.001998001998001998,1000
fagus,volume,Volume (total),fagus__volume,robinia,indirect,-0.010942062177099586,-0.010942062177099586,1,-0.011065971732252293,-0.011065971732252293,-0.023417554395934098,-0.002055843956137454,-0.023417554395934098,-0.002055843956137454,0.011988011988011988,1000
fagus,volume,Volume (total),fagus__volume,robinia,total,-0.5862598678672354,-0.5862598678672354,1,-0.5946712403152447,-0.5946712403152447,-0.8117693002297713,-0.39667435401424134,-0.8117693002297713,-0.39667435401424134,0.001998001998001998,1000
fagus,volume,Volume (total),fagus__volume,robinia,treatment_to_swc,-0.29944023486391297,-0.29944023486391297,1,-0.3028454850469151,-0.3028454850469151,-0.49378715432316717,-0.12953107774062014,-0.49378715432316717,-0.12953107774062014,0.001998001998001998,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,culture,direct,0.08709758113188523,0.08709758113188523,1,0.08700568448712714,0.08700568448712714,-0.02241331572064103,0.20101225547249127,-0.02241331572064103,0.20101225547249127,0.13386613386613386,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,culture,indirect,0.0020765152430062147,0.0020765152430062147,1,0.002322292282095792,0.002322292282095792,-0.007156676554114171,0.01570676351968584,-0.007156676554114171,0.01570676351968584,0.6433566433566433,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,culture,total,0.08917409637489145,0.08917409637489145,1,0.08932797676922294,0.08932797676922294,-0.022051883811946844,0.20198508731085033,-0.022051883811946844,0.20198508731085033,0.13186813186813187,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,culture,treatment_to_swc,0.04121039031334197,0.04121039031334197,1,0.04582979172490627,0.04582979172490627,-0.1294695097569882,0.22155657981337334,-0.1294695097569882,0.22155657981337334,0.5794205794205795,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,extreme_event,direct,-0.34585295293953633,-0.34585295293953633,1,-0.3445209572291455,-0.3445209572291455,-0.5775119946457825,-0.09139956218561654,-0.5775119946457825,-0.09139956218561654,0.005994005994005994,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,extreme_event,indirect,-0.005120056689028422,-0.005120056689028422,1,-0.005824027746413224,-0.005824027746413224,-0.02089053579842837,0.001017416766913734,-0.02089053579842837,0.001017416766913734,0.1958041958041958,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,extreme_event,total,-0.35097300962856476,-0.35097300962856476,1,-0.35034498497555877,-0.35034498497555877,-0.57908113948236,-0.10917081069291623,-0.57908113948236,-0.10917081069291623,0.001998001998001998,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,extreme_event,treatment_to_swc,-0.10161232155263653,-0.10161232155263653,1,-0.10170368477724245,-0.10170368477724245,-0.23221014648160498,0.023072847425067326,-0.23221014648160498,0.023072847425067326,0.11188811188811189,1000
