model_id,data_name,response_var,species,seed,date,effect,contrast,key,estimate,lower,upper,boot_mean,boot_median,boot_se,p_boot,display_sign,estimate_raw,lower_raw,upper_raw,inference,bootstrap_replicates
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-08-05,precipitation,drought - control,2025-08-05||precipitation,-0.6652363806173713,-0.8646500005154012,-0.4669464005704706,-0.6699870317981796,-0.6698829206974161,0.10265647862513624,0.001998001998001998,1,-0.6652363806173713,-0.8646500005154012,-0.4669464005704706,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-08-05,robinia,with-robinia - without-robinia,2025-08-05||robinia,-1.1761339202060073,-1.3791869596979993,-0.9948021519058717,-1.1796009582719456,-1.1761825147699685,0.10007949868297535,0.001998001998001998,1,-1.1761339202060073,-1.3791869596979993,-0.9948021519058717,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-09-01,culture,mixed - mono,2025-09-01||culture,0.39175893758917707,0.16406040525162202,0.6222736656316604,0.390563723985873,0.39082068694814076,0.1167980127033576,0.001998001998001998,1,0.39175893758917707,0.16406040525162202,0.6222736656316604,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-09-01,precipitation,drought - control,2025-09-01||precipitation,-0.7014883088899007,-0.911164980931425,-0.49002065259938343,-0.705322924171637,-0.7003947642987056,0.10659868943811934,0.001998001998001998,1,-0.7014883088899007,-0.911164980931425,-0.49002065259938343,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-09-01,robinia,with-robinia - without-robinia,2025-09-01||robinia,-1.2420992836232223,-1.4526416249311838,-1.065958516937173,-1.246264989272128,-1.2393568990332602,0.10272118212359156,0.001998001998001998,1,-1.2420992836232223,-1.4526416249311838,-1.065958516937173,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-09-29,culture,mixed - mono,2025-09-29||culture,0.3406398687204885,0.11504967854563976,0.5836537098376193,0.3390717969612258,0.34203464640958225,0.12159828165454113,0.003996003996003996,1,0.3406398687204885,0.11504967854563976,0.5836537098376193,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-09-29,precipitation,drought - control,2025-09-29||precipitation,-0.6980018074233052,-0.9290165340661148,-0.4799679764309226,-0.7032929786791174,-0.7020833471753537,0.11365439272315458,0.001998001998001998,1,-0.6980018074233052,-0.9290165340661148,-0.4799679764309226,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-09-29,robinia,with-robinia - without-robinia,2025-09-29||robinia,-1.2432992342400886,-1.4682685549169057,-1.0499127098193743,-1.2485251007464386,-1.2450778097837703,0.10995197446850018,0.001998001998001998,1,-1.2432992342400886,-1.4682685549169057,-1.0499127098193743,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-11-05,culture,mixed - mono,2025-11-05||culture,0.34718780771366614,0.11572908147080806,0.5883368132956479,0.34577922510340614,0.349165229372427,0.12105715595233782,0.001998001998001998,1,0.34718780771366614,0.11572908147080806,0.5883368132956479,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-11-05,precipitation,drought - control,2025-11-05||precipitation,-0.7081987819107151,-0.9189391810625159,-0.48872633040498786,-0.7129028140035453,-0.7128681452667105,0.11175186850298202,0.001998001998001998,1,-0.7081987819107151,-0.9189391810625159,-0.48872633040498786,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-11-05,robinia,with-robinia - without-robinia,2025-11-05||robinia,-1.2591011897847835,-1.487520586854109,-1.069323267554111,-1.264276819930994,-1.2610464440112992,0.10944869494127592,0.001998001998001998,1,-1.2591011897847835,-1.487520586854109,-1.069323267554111,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-12-02,culture,mixed - mono,2025-12-02||culture,0.3471878077136648,0.11572908147080789,0.5883368132956482,0.34577922510340603,0.3491652293724273,0.12105715595233776,0.001998001998001998,1,0.3471878077136648,0.11572908147080789,0.5883368132956482,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-12-02,precipitation,drought - control,2025-12-02||precipitation,-0.7081987819107157,-0.9189391810625162,-0.48872633040498764,-0.7129028140035454,-0.7128681452667109,0.11175186850298195,0.001998001998001998,1,-0.7081987819107157,-0.9189391810625162,-0.48872633040498764,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__fagus,growth,diameter_inc_t0,fagus,2026081902,2025-12-02,robinia,with-robinia - without-robinia,2025-12-02||robinia,-1.2591011897847841,-1.4875205868541097,-1.0693232675541104,-1.2642768199309937,-1.2610464440112987,0.10944869494127595,0.001998001998001998,1,-1.2591011897847841,-1.4875205868541097,-1.0693232675541104,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-03-07,culture,mixed - mono,2025-03-07||culture,2.0061008657536097e-4,-0.0021113525456960443,0.004370985166931322,3.3793305365720894e-4,9.837291083521117e-14,0.0015203507363533827,0.8731268731268731,1,2.0061008657536097e-4,-0.0021113525456960443,0.004370985166931322,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-03-07,precipitation,drought - control,2025-03-07||precipitation,-0.003229797208684118,-0.012570070242146916,0.002224554623942036,-0.002556820930010083,-9.457854003870887e-4,0.004051780986473489,0.45354645354645357,1,-0.003229797208684118,-0.012570070242146916,0.002224554623942036,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-03-07,robinia,with-robinia - without-robinia,2025-03-07||robinia,0.006800707111408216,-2.4331241144981503e-13,0.02270194350909515,0.005864948410676179,0.0038520860719908285,0.006625860774129626,0.23376623376623376,1,0.006800707111408216,-2.4331241144981503e-13,0.02270194350909515,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-05-08,culture,mixed - mono,2025-05-08||culture,0.05713964627952307,-0.004745970383735241,0.1225758322309044,0.05986007262311103,0.06024646936105664,0.03311577801405833,0.08391608391608392,1,0.05713964627952307,-0.004745970383735241,0.1225758322309044,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-05-08,precipitation,drought - control,2025-05-08||precipitation,-0.03055279024321079,-0.08523207037096017,0.02323657113717171,-0.02992625128982075,-0.029176666028100633,0.026691359392219942,0.26173826173826176,1,-0.03055279024321079,-0.08523207037096017,0.02323657113717171,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-05-08,robinia,with-robinia - without-robinia,2025-05-08||robinia,-0.09626675323873023,-0.15775833748248816,-0.04514638513073824,-0.0981871842448596,-0.09626473120709979,0.02872886847603414,0.001998001998001998,1,-0.09626675323873023,-0.15775833748248816,-0.04514638513073824,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-06-11,culture,mixed - mono,2025-06-11||culture,0.08517838556643494,-0.01471117169244495,0.18440612183771182,0.08643102712908843,0.08706013223240738,0.04974403483859133,0.08391608391608392,1,0.08517838556643494,-0.01471117169244495,0.18440612183771182,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-06-11,precipitation,drought - control,2025-06-11||precipitation,-0.028314595847753764,-0.10721820683177895,0.05814744588784707,-0.026368232963039962,-0.025926506880880378,0.04148767408195865,0.5114885114885115,1,-0.028314595847753764,-0.10721820683177895,0.05814744588784707,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-06-11,robinia,with-robinia - without-robinia,2025-06-11||robinia,-0.2742707689609966,-0.36247579060855156,-0.1933042385317591,-0.2738674191281329,-0.27197167790541976,0.043549762387227874,0.001998001998001998,1,-0.2742707689609966,-0.36247579060855156,-0.1933042385317591,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-07-09,culture,mixed - mono,2025-07-09||culture,0.049461861035776065,-0.058230064226625126,0.16149550553761025,0.04983462850449084,0.05054054626439866,0.055281981190008045,0.36363636363636365,1,0.049461861035776065,-0.058230064226625126,0.16149550553761025,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-07-09,precipitation,drought - control,2025-07-09||precipitation,-0.08355229775346985,-0.16216598735393128,0.007846661251399918,-0.08188050717481511,-0.08292408996082642,0.04383106038944979,0.061938061938061936,1,-0.08355229775346985,-0.16216598735393128,0.007846661251399918,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-07-09,robinia,with-robinia - without-robinia,2025-07-09||robinia,-0.6304703921045418,-0.718838175830662,-0.5382652702014408,-0.6286346660989199,-0.6284285343335247,0.04704295134024989,0.001998001998001998,1,-0.6304703921045418,-0.718838175830662,-0.5382652702014408,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-08-05,culture,mixed - mono,2025-08-05||culture,-0.05630643724402819,-0.1802702874901048,0.056960569688960364,-0.05627074406999128,-0.05629962202804454,0.05936292325932579,0.3436563436563437,1,-0.05630643724402819,-0.1802702874901048,0.056960569688960364,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-08-05,precipitation,drought - control,2025-08-05||precipitation,-0.15912655097016132,-0.2590687433030642,-0.05313977378300041,-0.15781110609896404,-0.15731968347909853,0.05389109390243757,0.005994005994005994,1,-0.15912655097016132,-0.2590687433030642,-0.05313977378300041,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-08-05,robinia,with-robinia - without-robinia,2025-08-05||robinia,-0.9342775509105039,-1.035539398884416,-0.812531122623242,-0.9321778539707082,-0.9328900238234943,0.058065743165335595,0.001998001998001998,1,-0.9342775509105039,-1.035539398884416,-0.812531122623242,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-09-01,culture,mixed - mono,2025-09-01||culture,-0.08833956094222585,-0.20451326085236615,0.02469172534424268,-0.0877642512256789,-0.08654304465265665,0.061376510687288416,0.16983016983016982,1,-0.08833956094222585,-0.20451326085236615,0.02469172534424268,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-09-01,precipitation,drought - control,2025-09-01||precipitation,-0.1563664204514865,-0.26681402755879874,-0.04621013447608643,-0.1561749820915506,-0.1578737507568705,0.05825261306684942,0.011988011988011988,1,-0.1563664204514865,-0.26681402755879874,-0.04621013447608643,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-09-01,robinia,with-robinia - without-robinia,2025-09-01||robinia,-1.170096277727992,-1.289920313517428,-1.0417866543068357,-1.168233610230539,-1.1709360463301322,0.06422080487570986,0.001998001998001998,1,-1.170096277727992,-1.289920313517428,-1.0417866543068357,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-09-29,culture,mixed - mono,2025-09-29||culture,-0.19452048723906942,-0.39802025803314445,0.008548731401234392,-0.19540742422438923,-0.1958275689924313,0.10342655793393216,0.06593406593406594,1,-0.19452048723906942,-0.39802025803314445,0.008548731401234392,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-09-29,precipitation,drought - control,2025-09-29||precipitation,-0.23535866957863297,-0.4227060527841865,-0.049978186112214384,-0.23691913686128072,-0.23986803996142167,0.09761431184126568,0.013986013986013986,1,-0.23535866957863297,-0.4227060527841865,-0.049978186112214384,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-09-29,robinia,with-robinia - without-robinia,2025-09-29||robinia,-1.3708125818290375,-1.5552483819449738,-1.1694865315729892,-1.3671662255507662,-1.3653286177201087,0.09922735034309252,0.001998001998001998,1,-1.3708125818290375,-1.5552483819449738,-1.1694865315729892,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-11-05,culture,mixed - mono,2025-11-05||culture,-0.21582225736214453,-0.42047893995541896,-0.017242426106114237,-0.21717478727354617,-0.21594701175611228,0.10431501098855771,0.03196803196803197,1,-0.21582225736214453,-0.42047893995541896,-0.017242426106114237,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-11-05,precipitation,drought - control,2025-11-05||precipitation,-0.24617170172018116,-0.4427150678636878,-0.06140285288100396,-0.24715034391715315,-0.24603712804891587,0.09976736578614855,0.013986013986013986,1,-0.24617170172018116,-0.4427150678636878,-0.06140285288100396,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-11-05,robinia,with-robinia - without-robinia,2025-11-05||robinia,-1.367455895262269,-1.5566089991813075,-1.1618316888698499,-1.3632935955898038,-1.364310840589735,0.10095033459941628,0.001998001998001998,1,-1.367455895262269,-1.5566089991813075,-1.1618316888698499,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-12-02,culture,mixed - mono,2025-12-02||culture,-0.1741135511881382,-0.36044448725914435,0.006191018250776462,-0.1752017726475459,-0.1759043288196392,0.09594562299169476,0.06593406593406594,1,-0.1741135511881382,-0.36044448725914435,0.006191018250776462,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-12-02,precipitation,drought - control,2025-12-02||precipitation,-0.23004048736487978,-0.4128139089860981,-0.04759913169076464,-0.23189936838796535,-0.23369658894412848,0.09668203938123178,0.02197802197802198,1,-0.23004048736487978,-0.4128139089860981,-0.04759913169076464,container-cluster bootstrap percentile,1000
growth__diameter_inc_t0__quercus,growth,diameter_inc_t0,quercus,2026081903,2025-12-02,robinia,with-robinia - without-robinia,2025-12-02||robinia,-1.3921905852807737,-1.5794089786265497,-1.1984892398475815,-1.3887552516118138,-1.3904350241002033,0.0984986928641353,0.001998001998001998,1,-1.3921905852807737,-1.5794089786265497,-1.1984892398475815,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-06-18,culture,mixed - mono,2025-06-18||culture,-0.0436271732206037,-0.15764093375387483,0.06035011869097949,-0.04339936117067318,-0.04360874257792559,0.055921942247536605,0.44155844155844154,1,-0.0436271732206037,-0.15764093375387483,0.06035011869097949,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-06-18,precipitation,drought - control,2025-06-18||precipitation,-0.0831836954580641,-0.20147535829286922,0.024863657725027685,-0.08580638113651162,-0.08486429477147654,0.05833497356489638,0.14185814185814186,1,-0.0831836954580641,-0.20147535829286922,0.024863657725027685,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-06-18,robinia,with-robinia - without-robinia,2025-06-18||robinia,0.015022791888119514,-0.10610291530507923,0.131959184248248,0.02098720727869139,0.021481672969574945,0.06247362915451706,0.7272727272727273,1,0.015022791888119514,-0.10610291530507923,0.131959184248248,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-03,culture,mixed - mono,2025-07-03||culture,-0.04210384713054912,-0.39206941296760367,0.31352221647469736,-0.03985501714357453,-0.0430146396805315,0.18189630254047104,0.7972027972027972,1,-0.04210384713054912,-0.39206941296760367,0.31352221647469736,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-03,precipitation,drought - control,2025-07-03||precipitation,-0.5983046680516743,-0.9741657374930178,-0.2556703674715365,-0.6031336429082621,-0.5993741161552539,0.1853077432321306,0.001998001998001998,1,-0.5983046680516743,-0.9741657374930178,-0.2556703674715365,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-03,robinia,with-robinia - without-robinia,2025-07-03||robinia,-1.1375400576996257,-1.5151098811276649,-0.7667217347872841,-1.1311378914180528,-1.1290430344323457,0.18785978226749017,0.001998001998001998,1,-1.1375400576996257,-1.5151098811276649,-0.7667217347872841,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-17,culture,mixed - mono,2025-07-17||culture,-0.06887887319183475,-0.43196443152579705,0.2814555682291119,-0.06975905212345926,-0.07177444678442707,0.18022206721410527,0.6773226773226774,1,-0.06887887319183475,-0.43196443152579705,0.2814555682291119,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-17,precipitation,drought - control,2025-07-17||precipitation,-0.6392693676102443,-1.0041164913528273,-0.3242575127847141,-0.6412609584916078,-0.635890880353438,0.17843732450930944,0.001998001998001998,1,-0.6392693676102443,-1.0041164913528273,-0.3242575127847141,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-17,robinia,with-robinia - without-robinia,2025-07-17||robinia,-0.8859887657334999,-1.287758108332648,-0.5353993131092323,-0.8813352511861408,-0.8839435622343583,0.18730624833389653,0.001998001998001998,1,-0.8859887657334999,-1.287758108332648,-0.5353993131092323,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-31,culture,mixed - mono,2025-07-31||culture,-0.09749497434354783,-0.45331457780519996,0.23623544896821627,-0.1007003521724478,-0.10752903250265983,0.17690229023975548,0.5554445554445554,1,-0.09749497434354783,-0.45331457780519996,0.23623544896821627,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-31,precipitation,drought - control,2025-07-31||precipitation,-0.5275837091635632,-0.877350913137208,-0.22300701429252975,-0.5279141949111542,-0.5231668677080197,0.1701030219732322,0.001998001998001998,1,-0.5275837091635632,-0.877350913137208,-0.22300701429252975,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-07-31,robinia,with-robinia - without-robinia,2025-07-31||robinia,-0.7822281411786064,-1.1472980483852,-0.4414028868768964,-0.7753621044137922,-0.7764829076301301,0.179005351652718,0.001998001998001998,1,-0.7822281411786064,-1.1472980483852,-0.4414028868768964,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-08-14,culture,mixed - mono,2025-08-14||culture,-0.28781118032389374,-0.6127550920478746,0.026385163256817022,-0.2910374158649169,-0.29397362053102527,0.16039527983792423,0.08391608391608392,1,-0.28781118032389374,-0.6127550920478746,0.026385163256817022,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-08-14,precipitation,drought - control,2025-08-14||precipitation,-0.3250911891480095,-0.639886506945763,-0.048838050969605314,-0.3316031746929913,-0.3285804048260683,0.15371756443954457,0.025974025974025976,1,-0.3250911891480095,-0.639886506945763,-0.048838050969605314,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-08-14,robinia,with-robinia - without-robinia,2025-08-14||robinia,-0.6511803873704972,-0.9963929157754217,-0.348686850879935,-0.6505152960888317,-0.6500272535976996,0.16024705298818498,0.001998001998001998,1,-0.6511803873704972,-0.9963929157754217,-0.348686850879935,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-08-29,culture,mixed - mono,2025-08-29||culture,-0.013440427120936285,-0.2706407789338014,0.26756630635059625,-0.011090589816622119,-0.017251864850038375,0.13517884749976153,0.8971028971028971,1,-0.013440427120936285,-0.2706407789338014,0.26756630635059625,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-08-29,precipitation,drought - control,2025-08-29||precipitation,0.1387136622253617,-0.1308728739528751,0.438967405644038,0.13772860486632713,0.13676515378935597,0.14219368543678715,0.33766233766233766,1,0.1387136622253617,-0.1308728739528751,0.438967405644038,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-08-29,robinia,with-robinia - without-robinia,2025-08-29||robinia,-1.5281222710215743,-1.830140274720142,-1.2031441285397528,-1.5293077734947305,-1.5304301312791928,0.16302366408071328,0.001998001998001998,1,-1.5281222710215743,-1.830140274720142,-1.2031441285397528,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-09-10,culture,mixed - mono,2025-09-10||culture,-0.0711404984298223,-0.35685275843150244,0.23048161743989795,-0.07122844127310538,-0.08137800685517269,0.15469795917868237,0.6473526473526473,1,-0.0711404984298223,-0.35685275843150244,0.23048161743989795,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-09-10,precipitation,drought - control,2025-09-10||precipitation,0.23002959369912,-0.0616835849762043,0.551990187697185,0.23516795627534956,0.23337060098629564,0.15607289300161262,0.1258741258741259,1,0.23002959369912,-0.0616835849762043,0.551990187697185,container-cluster bootstrap percentile,1000
quantum_yield__qy__fagus,quantum_yield,qy,fagus,2026082002,2025-09-10,robinia,with-robinia - without-robinia,2025-09-10||robinia,-1.5017738677214632,-1.8259510122939957,-1.1833719199264974,-1.5042456918156843,-1.5043190318647501,0.1660086786612949,0.001998001998001998,1,-1.5017738677214632,-1.8259510122939957,-1.1833719199264974,container-cluster bootstrap percentile,1000
