tree_id,boxlabel,species,robinia,precipitation,culture,metric,value
338,b2-p5-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.7265822784810126
339,b2-p5-c3,quercus,without robinia,drought,mixed,Root biomass (g),16.2
339,b2-p5-c3,quercus,without robinia,drought,mixed,Shoot biomass (g),27.1
339,b2-p5-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.5977859778597785
342,b2-p5-c3,quercus,without robinia,drought,mixed,Root biomass (g),31.499999999999993
342,b2-p5-c3,quercus,without robinia,drought,mixed,Shoot biomass (g),38.4
342,b2-p5-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.8203124999999999
343,b2-p5-c3,quercus,without robinia,drought,mixed,Root biomass (g),14
343,b2-p5-c3,quercus,without robinia,drought,mixed,Shoot biomass (g),15.6
343,b2-p5-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.8974358974358975
402,b3-p1-c3,quercus,without robinia,drought,mixed,Root biomass (g),24.499999999999993
402,b3-p1-c3,quercus,without robinia,drought,mixed,Shoot biomass (g),26.9
402,b3-p1-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.9107806691449812
403,b3-p1-c3,quercus,without robinia,drought,mixed,Root biomass (g),34.400000000000006
403,b3-p1-c3,quercus,without robinia,drought,mixed,Shoot biomass (g),50.9
403,b3-p1-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.675834970530452
406,b3-p1-c3,quercus,without robinia,drought,mixed,Root biomass (g),16.7
406,b3-p1-c3,quercus,without robinia,drought,mixed,Shoot biomass (g),22.5
406,b3-p1-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.7422222222222222
407,b3-p1-c3,quercus,without robinia,drought,mixed,Root biomass (g),19
407,b3-p1-c3,quercus,without robinia,drought,mixed,Shoot biomass (g),19.699999999999996
407,b3-p1-c3,quercus,without robinia,drought,mixed,Root:shoot biomass (-),0.9644670050761424
329,b2-p5-c2,quercus,without robinia,drought,mono,Root biomass (g),27.3
329,b2-p5-c2,quercus,without robinia,drought,mono,Shoot biomass (g),26.9
329,b2-p5-c2,quercus,without robinia,drought,mono,Root:shoot biomass (-),1.0148698884758365
332,b2-p5-c2,quercus,without robinia,drought,mono,Root biomass (g),13.5
332,b2-p5-c2,quercus,without robinia,drought,mono,Shoot biomass (g),18.5
332,b2-p5-c2,quercus,without robinia,drought,mono,Root:shoot biomass (-),0.7297297297297297
333,b2-p5-c2,quercus,without robinia,drought,mono,Root biomass (g),18.4
333,b2-p5-c2,quercus,without robinia,drought,mono,Shoot biomass (g),23.799999999999994
333,b2-p5-c2,quercus,without robinia,drought,mono,Root:shoot biomass (-),0.7731092436974791
336,b2-p5-c2,quercus,without robinia,drought,mono,Root biomass (g),76.4
336,b2-p5-c2,quercus,without robinia,drought,mono,Shoot biomass (g),87.2
336,b2-p5-c2,quercus,without robinia,drought,mono,Root:shoot biomass (-),0.8761467889908258
449,b3-p3-c1,quercus,without robinia,drought,mono,Root biomass (g),29.599999999999994
449,b3-p3-c1,quercus,without robinia,drought,mono,Shoot biomass (g),24.1
449,b3-p3-c1,quercus,without robinia,drought,mono,Root:shoot biomass (-),1.2282157676348544
452,b3-p3-c1,quercus,without robinia,drought,mono,Root biomass (g),18.8
452,b3-p3-c1,quercus,without robinia,drought,mono,Shoot biomass (g),18
452,b3-p3-c1,quercus,without robinia,drought,mono,Root:shoot biomass (-),1.0444444444444445
453,b3-p3-c1,quercus,without robinia,drought,mono,Root biomass (g),55.10000000000001
453,b3-p3-c1,quercus,without robinia,drought,mono,Shoot biomass (g),55.300000000000004
453,b3-p3-c1,quercus,without robinia,drought,mono,Root:shoot biomass (-),0.9963833634719711
456,b3-p3-c1,quercus,without robinia,drought,mono,Root biomass (g),68.60000000000001
456,b3-p3-c1,quercus,without robinia,drought,mono,Shoot biomass (g),95.2
456,b3-p3-c1,quercus,without robinia,drought,mono,Root:shoot biomass (-),0.7205882352941178
234,b2-p2-c2,quercus,with robinia,control,mixed,Root biomass (g),31.499999999999993
234,b2-p2-c2,quercus,with robinia,control,mixed,Shoot biomass (g),31.1
234,b2-p2-c2,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.0128617363344048
235,b2-p2-c2,quercus,with robinia,control,mixed,Root biomass (g),27.3
235,b2-p2-c2,quercus,with robinia,control,mixed,Shoot biomass (g),23.199999999999996
235,b2-p2-c2,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.1767241379310347
238,b2-p2-c2,quercus,with robinia,control,mixed,Root biomass (g),13.8
238,b2-p2-c2,quercus,with robinia,control,mixed,Shoot biomass (g),17.4
238,b2-p2-c2,quercus,with robinia,control,mixed,Root:shoot biomass (-),0.7931034482758622
239,b2-p2-c2,quercus,with robinia,control,mixed,Root biomass (g),18.9
239,b2-p2-c2,quercus,with robinia,control,mixed,Shoot biomass (g),27.299999999999994
239,b2-p2-c2,quercus,with robinia,control,mixed,Root:shoot biomass (-),0.6923076923076924
562,b3-p6-c3,quercus,with robinia,control,mixed,Root biomass (g),8.200000000000001
562,b3-p6-c3,quercus,with robinia,control,mixed,Shoot biomass (g),9.800000000000002
562,b3-p6-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),0.836734693877551
563,b3-p6-c3,quercus,with robinia,control,mixed,Root biomass (g),15.600000000000001
563,b3-p6-c3,quercus,with robinia,control,mixed,Shoot biomass (g),16
563,b3-p6-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),0.9750000000000001
566,b3-p6-c3,quercus,with robinia,control,mixed,Root biomass (g),21.2
566,b3-p6-c3,quercus,with robinia,control,mixed,Shoot biomass (g),20.1
