species,robinia,precipitation,culture,phase,date,mean,sd,n,se
quercus,without-robinia,control,mixed,July-August,2025-07-09,42.58093581732796,23.700914687382223,24,4.837928951776828
quercus,without-robinia,control,mixed,July-August,2025-08-05,67.80682332801312,28.50125304109472,24,5.817793915052449
quercus,without-robinia,control,mixed,July-August,2025-09-01,112.67067896266332,34.02632968284896,24,6.945595461891443
quercus,without-robinia,control,mixed,September+,2025-09-01,0,0,24,0
quercus,without-robinia,control,mixed,September+,2025-09-29,24.630831549808605,19.219202523216474,24,3.923103287090944
quercus,without-robinia,control,mixed,September+,2025-11-05,29.486293792771,19.673461776892808,24,4.015828568961321
quercus,without-robinia,control,mixed,September+,2025-12-02,31.626995794787156,18.24560954226314,24,3.7243694520500368
quercus,without-robinia,drought,mono,until June,2025-03-07,0,0,48,0
quercus,without-robinia,drought,mono,until June,2025-05-08,39.33210027959827,20.53498237985492,48,2.9639694012033653
quercus,without-robinia,drought,mono,until June,2025-06-11,83.79419557789704,29.108696968887163,48,4.201478507686562
quercus,without-robinia,drought,mono,July-August,2025-06-11,0,0,48,0
quercus,without-robinia,drought,mono,July-August,2025-07-09,48.914594596483674,19.585526764135352,48,2.8269272873735414
quercus,without-robinia,drought,mono,July-August,2025-08-05,87.29174484378392,38.34730512012722,48,5.534956733450541
quercus,without-robinia,drought,mono,July-August,2025-09-01,136.60519892397704,62.62972519205073,48,9.039822174725694
quercus,without-robinia,drought,mono,September+,2025-09-01,0,0,48,0
quercus,without-robinia,drought,mono,September+,2025-09-29,28.848037414173294,19.050456502188542,48,2.749696547430953
quercus,without-robinia,drought,mono,September+,2025-11-05,32.36659999001769,20.083918363023344,48,2.898863918318499
quercus,without-robinia,drought,mono,September+,2025-12-02,32.476872348059246,20.593144719217605,48,2.972364411775301
quercus,without-robinia,drought,mixed,until June,2025-03-07,0,0,24,0
quercus,without-robinia,drought,mixed,until June,2025-05-08,56.96896401333489,25.331974988223177,24,5.170867741507725
quercus,without-robinia,drought,mixed,until June,2025-06-11,101.39576366468194,43.84356657150738,24,8.94953055032823
quercus,without-robinia,drought,mixed,July-August,2025-06-11,0,0,24,0
quercus,without-robinia,drought,mixed,July-August,2025-07-09,33.82987116286495,18.18208011731639,24,3.711401562485705
quercus,without-robinia,drought,mixed,July-August,2025-08-05,55.30728008264854,25.086541716812427,24,5.120768884769529
quercus,without-robinia,drought,mixed,July-August,2025-09-01,78.9630220041852,32.16255999822733,24,6.565155068108867
quercus,without-robinia,drought,mixed,September+,2025-09-01,0,0,24,0
quercus,without-robinia,drought,mixed,September+,2025-09-29,13.794624502523222,11.067118615716101,24,2.2590661276134463
quercus,without-robinia,drought,mixed,September+,2025-11-05,15.586561697337798,10.145823135666653,24,2.0710074752423107
quercus,without-robinia,drought,mixed,September+,2025-12-02,18.44688725212246,10.093959658323643,24,2.0604208872609133
quercus,with-robinia,control,mono,until June,2025-03-07,0,0,56,0
quercus,with-robinia,control,mono,until June,2025-05-08,36.697482988503864,19.259541740076816,56,2.5736645220585523
quercus,with-robinia,control,mono,until June,2025-06-11,60.384416854605696,28.671442904566057,56,3.8313827190477463
quercus,with-robinia,control,mono,July-August,2025-06-11,0,0,56,0
quercus,with-robinia,control,mono,July-August,2025-07-09,8.030764350566809,9.741505745443533,56,1.301763461812128
quercus,with-robinia,control,mono,July-August,2025-08-05,24.44561450589217,22.5736992294582,56,3.016537445311268
quercus,with-robinia,control,mono,July-August,2025-09-01,38.9052346916386,25.049356127986783,56,3.347361013936173
quercus,with-robinia,control,mono,September+,2025-09-01,0,0,56,0
quercus,with-robinia,control,mono,September+,2025-09-29,24.850911747660763,23.924394486182187,56,3.197031691189905
