species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-09-29,robinia,with-robinia - without-robinia,-1.2432992342400886,-1.4682685549169057,-1.0499127098193743,0.00199800199800199
fagus,2025-11-05,culture,mixed - mono,0.34718780771366614,0.11572908147080806,0.5883368132956479,0.00199800199800199
fagus,2025-11-05,precipitation,drought - control,-0.7081987819107151,-0.918939181062516,-0.48872633040498786,0.00199800199800199
fagus,2025-11-05,robinia,with-robinia - without-robinia,-1.2591011897847837,-1.487520586854109,-1.069323267554111,0.00199800199800199
fagus,2025-12-02,culture,mixed - mono,0.3471878077136648,0.11572908147080788,0.5883368132956482,0.00199800199800199
fagus,2025-12-02,precipitation,drought - control,-0.7081987819107157,-0.9189391810625162,-0.4887263304049877,0.00199800199800199
fagus,2025-12-02,robinia,with-robinia - without-robinia,-1.259101189784784,-1.4875205868541097,-1.0693232675541104,0.00199800199800199
quercus,2025-03-07,culture,mixed - mono,2.0061008657536097e-4,-0.00211135254569604,0.00437098516693132,0.8731268731268731
quercus,2025-03-07,precipitation,drought - control,-0.00322979720868411,-0.01257007024214691,0.00222455462394203,0.4535464535464536
quercus,2025-03-07,robinia,with-robinia - without-robinia,0.00680070711140821,-2.433124114498151e-13,0.02270194350909515,0.23376623376623376
quercus,2025-05-08,culture,mixed - mono,0.05713964627952307,-0.00474597038373524,0.1225758322309044,0.08391608391608392
quercus,2025-05-08,precipitation,drought - control,-0.03055279024321079,-0.08523207037096017,0.02323657113717171,0.26173826173826176
quercus,2025-05-08,robinia,with-robinia - without-robinia,-0.09626675323873024,-0.15775833748248816,-0.04514638513073824,0.00199800199800199
quercus,2025-06-11,culture,mixed - mono,0.08517838556643494,-0.01471117169244495,0.18440612183771185,0.08391608391608392
quercus,2025-06-11,precipitation,drought - control,-0.02831459584775376,-0.10721820683177896,0.05814744588784707,0.5114885114885115
quercus,2025-06-11,robinia,with-robinia - without-robinia,-0.2742707689609966,-0.3624757906085515,-0.1933042385317591,0.00199800199800199
quercus,2025-07-09,culture,mixed - mono,0.04946186103577606,-0.05823006422662512,0.16149550553761025,0.3636363636363637
quercus,2025-07-09,precipitation,drought - control,-0.08355229775346985,-0.16216598735393128,0.00784666125139991,0.06193806193806193
quercus,2025-07-09,robinia,with-robinia - without-robinia,-0.6304703921045418,-0.718838175830662,-0.5382652702014408,0.00199800199800199
quercus,2025-08-05,culture,mixed - mono,-0.05630643724402819,-0.1802702874901048,0.05696056968896036,0.3436563436563437
quercus,2025-08-05,precipitation,drought - control,-0.15912655097016132,-0.2590687433030642,-0.05313977378300041,0.00599400599400599
quercus,2025-08-05,robinia,with-robinia - without-robinia,-0.934277550910504,-1.035539398884416,-0.812531122623242,0.00199800199800199
quercus,2025-09-01,culture,mixed - mono,-0.08833956094222585,-0.20451326085236615,0.02469172534424268,0.16983016983016982
quercus,2025-09-01,precipitation,drought - control,-0.1563664204514865,-0.26681402755879874,-0.04621013447608643,0.01198801198801198
quercus,2025-09-01,robinia,with-robinia - without-robinia,-1.170096277727992,-1.289920313517428,-1.0417866543068357,0.00199800199800199
quercus,2025-09-29,culture,mixed - mono,-0.19452048723906945,-0.3980202580331445,0.00854873140123439,0.06593406593406594
quercus,2025-09-29,precipitation,drought - control,-0.23535866957863297,-0.4227060527841865,-0.04997818611221438,0.01398601398601398
quercus,2025-09-29,robinia,with-robinia - without-robinia,-1.3708125818290375,-1.5552483819449738,-1.1694865315729892,0.00199800199800199
quercus,2025-11-05,culture,mixed - mono,-0.21582225736214453,-0.42047893995541896,-0.01724242610611423,0.03196803196803197
quercus,2025-11-05,precipitation,drought - control,-0.24617170172018116,-0.4427150678636878,-0.06140285288100396,0.01398601398601398
quercus,2025-11-05,robinia,with-robinia - without-robinia,-1.367455895262269,-1.5566089991813077,-1.16183168886985,0.00199800199800199
quercus,2025-12-02,culture,mixed - mono,-0.1741135511881382,-0.3604444872591443,0.00619101825077646,0.06593406593406594
quercus,2025-12-02,precipitation,drought - control,-0.23004048736487975,-0.4128139089860981,-0.04759913169076464,0.02197802197802198
quercus,2025-12-02,robinia,with-robinia - without-robinia,-1.3921905852807737,-1.5794089786265495,-1.1984892398475817,0.00199800199800199
