boxlabel,date,swc
b1-p4-c3,2025-09-23,20.1
b1-p4-c3,2025-10-07,15.1
b1-p4-c3,2025-10-21,9.9
b1-p4-c4,2024-09-19,20.5
b1-p4-c4,2024-10-17,22.5
b1-p4-c4,2024-11-12,22.7
b1-p4-c4,2024-11-13,22.2
b1-p4-c4,2025-01-30,23.1
b1-p4-c4,2025-03-04,23.5
b1-p4-c4,2025-04-02,17.4
b1-p4-c4,2025-04-11,10.1
b1-p4-c4,2025-04-28,16.4
b1-p4-c4,2025-05-12,13.6
b1-p4-c4,2025-05-26,22.3
b1-p4-c4,2025-06-06,16.4
b1-p4-c4,2025-06-20,1.8
b1-p4-c4,2025-07-02,1.6
b1-p4-c4,2025-07-03,5
b1-p4-c4,2025-07-17,12.3
b1-p4-c4,2025-07-31,19.8
b1-p4-c4,2025-08-14,1.2
b1-p4-c4,2025-08-28,18.7
b1-p4-c4,2025-09-10,19.5
b1-p4-c4,2025-09-23,22.5
b1-p4-c4,2025-10-07,17.7
b1-p4-c4,2025-10-21,14.1
b1-p5-c1,2024-09-19,17.2
b1-p5-c1,2024-10-17,17.7
b1-p5-c1,2024-11-12,17.3
b1-p5-c1,2024-11-13,17
b1-p5-c1,2025-01-30,18.5
b1-p5-c1,2025-03-04,17.3
b1-p5-c1,2025-04-02,13.8
b1-p5-c1,2025-04-11,7.4
b1-p5-c1,2025-04-28,15.3
b1-p5-c1,2025-05-12,6.9
b1-p5-c1,2025-05-26,17.9
b1-p5-c1,2025-06-06,5.1
b1-p5-c1,2025-06-20,1.2
b1-p5-c1,2025-07-02,0
b1-p5-c1,2025-07-03,2.3
b1-p5-c1,2025-07-17,7.1
b1-p5-c1,2025-07-31,15.7
b1-p5-c1,2025-08-14,0
b1-p5-c1,2025-08-28,17.3
b1-p5-c1,2025-09-10,16
b1-p5-c1,2025-09-23,18
b1-p5-c1,2025-10-07,13.7
b1-p5-c1,2025-10-21,8.2
b1-p5-c2,2024-09-19,17.1
b1-p5-c2,2024-10-17,18.4
b1-p5-c2,2024-11-12,18.4
b1-p5-c2,2024-11-13,17.3
b1-p5-c2,2025-01-30,19.4
b1-p5-c2,2025-03-04,16.4
b1-p5-c2,2025-04-02,12.6
b1-p5-c2,2025-04-11,10.1
b1-p5-c2,2025-04-28,13
b1-p5-c2,2025-05-12,8.5
b1-p5-c2,2025-05-26,17.5
b1-p5-c2,2025-06-06,7.2
b1-p5-c2,2025-06-20,0.8
b1-p5-c2,2025-07-02,0
b1-p5-c2,2025-07-03,3.3
b1-p5-c2,2025-07-17,10.2
b1-p5-c2,2025-07-31,17.8
b1-p5-c2,2025-08-14,0.6
b1-p5-c2,2025-08-28,17.2
b1-p5-c2,2025-09-10,15.9
b1-p5-c2,2025-09-23,18.7
b1-p5-c2,2025-10-07,13.1
b1-p5-c2,2025-10-21,9.9
b1-p5-c3,2024-09-19,22.2
b1-p5-c3,2024-10-17,23.1
b1-p5-c3,2024-11-12,24.3
b1-p5-c3,2024-11-13,21.3
b1-p5-c3,2025-01-30,24.6
b1-p5-c3,2025-03-04,23.5
b1-p5-c3,2025-04-02,16.3
b1-p5-c3,2025-04-11,10.4
b1-p5-c3,2025-04-28,16.3
b1-p5-c3,2025-05-12,12.5
b1-p5-c3,2025-05-26,24.3
b1-p5-c3,2025-06-06,20.6
b1-p5-c3,2025-06-20,8.9
b1-p5-c3,2025-07-02,3.8
b1-p5-c3,2025-07-03,8.6
b1-p5-c3,2025-07-17,11.7
b1-p5-c3,2025-07-31,23.4
b1-p5-c3,2025-08-14,5.9
b1-p5-c3,2025-08-28,14.8
b1-p5-c3,2025-09-10,19.1
b1-p5-c3,2025-09-23,21.6
b1-p5-c3,2025-10-07,18.9
b1-p5-c3,2025-10-21,18.3
b1-p5-c4,2024-09-19,24.6
b1-p5-c4,2024-10-17,25.3
b1-p5-c4,2024-11-12,25.1
b1-p5-c4,2024-11-13,25
b1-p5-c4,2025-01-30,25.3
b1-p5-c4,2025-03-04,22.3
b1-p5-c4,2025-04-02,16.9
b1-p5-c4,2025-04-11,10.9
b1-p5-c4,2025-04-28,17.9
b1-p5-c4,2025-05-12,16.3
b1-p5-c4,2025-05-26,25.6
b1-p5-c4,2025-06-06,24.5
b1-p5-c4,2025-06-20,14
b1-p5-c4,2025-07-02,10.7
b1-p5-c4,2025-07-03,13.7
b1-p5-c4,2025-07-17,18.4
b1-p5-c4,2025-07-31,27.3
b1-p5-c4,2025-08-14,13
b1-p5-c4,2025-08-28,20.3
b1-p5-c4,2025-09-10,24.6
b1-p5-c4,2025-09-23,28.2
b1-p5-c4,2025-10-07,25.4
b1-p5-c4,2025-10-21,21.9
b1-p6-c1,2024-09-19,17.4
b1-p6-c1,2024-10-17,17.9
b1-p6-c1,2024-11-12,18.7
b1-p6-c1,2024-11-13,18.8
b1-p6-c1,2025-01-30,18.9
b1-p6-c1,2025-03-04,17.9
b1-p6-c1,2025-04-02,11.6
b1-p6-c1,2025-04-11,7.7
b1-p6-c1,2025-04-28,13.2
b1-p6-c1,2025-05-12,9.8
b1-p6-c1,2025-05-26,19.4
b1-p6-c1,2025-06-06,15.2
b1-p6-c1,2025-06-20,6.4
b1-p6-c1,2025-07-02,2
b1-p6-c1,2025-07-03,4.8
b1-p6-c1,2025-07-17,11.9
b1-p6-c1,2025-07-31,22.2
b1-p6-c1,2025-08-14,3.8
b1-p6-c1,2025-08-28,13
b1-p6-c1,2025-09-10,16.4
b1-p6-c1,2025-09-23,19.3
b1-p6-c1,2025-10-07,16.9
b1-p6-c1,2025-10-21,10.8
b1-p6-c2,2024-09-19,19.8
b1-p6-c2,2024-10-17,21.2
b1-p6-c2,2024-11-12,21.8
b1-p6-c2,2024-11-13,20.8
b1-p6-c2,2025-01-30,23.2
b1-p6-c2,2025-03-04,20.4
b1-p6-c2,2025-04-02,14.6
b1-p6-c2,2025-04-11,10.1
b1-p6-c2,2025-04-28,15.5
b1-p6-c2,2025-05-12,12.9
b1-p6-c2,2025-05-26,22.6
b1-p6-c2,2025-06-06,19.3
b1-p6-c2,2025-06-20,11.9
b1-p6-c2,2025-07-02,7.8
b1-p6-c2,2025-07-03,10.5
b1-p6-c2,2025-07-17,16.8
b1-p6-c2,2025-07-31,26.4
b1-p6-c2,2025-08-14,9.8
b1-p6-c2,2025-08-28,16.7
b1-p6-c2,2025-09-10,21.1
b1-p6-c2,2025-09-23,23.3
b1-p6-c2,2025-10-07,20.9
b1-p6-c2,2025-10-21,15.8
b1-p6-c3,2024-09-19,18.4
b1-p6-c3,2024-10-17,18.4
b1-p6-c3,2024-11-12,20.3
b1-p6-c3,2024-11-13,18
b1-p6-c3,2025-01-30,18.6
b1-p6-c3,2025-03-04,18.4
b1-p6-c3,2025-04-02,10.2
b1-p6-c3,2025-04-11,8.4
b1-p6-c3,2025-04-28,12.8
b1-p6-c3,2025-05-12,9.9
b1-p6-c3,2025-05-26,20.8
b1-p6-c3,2025-06-06,17
b1-p6-c3,2025-06-20,8.2
b1-p6-c3,2025-07-02,2.9
b1-p6-c3,2025-07-03,5.1
b1-p6-c3,2025-07-17,7
b1-p6-c3,2025-07-31,21.1
b1-p6-c3,2025-08-14,3.4
b1-p6-c3,2025-08-28,9.3
b1-p6-c3,2025-09-10,16.6
b1-p6-c3,2025-09-23,19.5
b1-p6-c3,2025-10-07,16
b1-p6-c3,2025-10-21,9.9
b1-p6-c4,2024-09-19,17.2
b1-p6-c4,2024-10-17,16.8
b1-p6-c4,2024-11-12,19.5
b1-p6-c4,2024-11-13,16.7
b1-p6-c4,2025-01-30,18.3
b1-p6-c4,2025-03-04,15.6
b1-p6-c4,2025-04-02,11.1
b1-p6-c4,2025-04-11,8.4
b1-p6-c4,2025-04-28,13.2
b1-p6-c4,2025-05-12,7.4
b1-p6-c4,2025-05-26,12.7
b1-p6-c4,2025-06-06,2.6
b1-p6-c4,2025-06-20,0.5
b1-p6-c4,2025-07-02,1.4
b1-p6-c4,2025-07-03,3
b1-p6-c4,2025-07-17,7.9
b1-p6-c4,2025-07-31,14.8
b1-p6-c4,2025-08-14,0.6
b1-p6-c4,2025-08-28,10.5
b1-p6-c4,2025-09-10,14.3
b1-p6-c4,2025-09-23,16.6
b1-p6-c4,2025-10-07,12.8
b1-p6-c4,2025-10-21,7.8
b2-p1-c1,2024-09-19,12.5
b2-p1-c1,2024-10-17,18.2
b2-p1-c1,2024-11-12,20.3
b2-p1-c1,2024-11-13,15.7
b2-p1-c1,2025-01-30,18.6
b2-p1-c1,2025-03-04,18.7
b2-p1-c1,2025-04-02,10.1
b2-p1-c1,2025-04-11,7.5
b2-p1-c1,2025-04-28,13
b2-p1-c1,2025-05-12,8.4
b2-p1-c1,2025-05-26,15.3
b2-p1-c1,2025-06-06,8.7
b2-p1-c1,2025-06-20,0
b2-p1-c1,2025-07-02,0
b2-p1-c1,2025-07-03,3.2
b2-p1-c1,2025-07-17,6.6
b2-p1-c1,2025-07-31,14.6
b2-p1-c1,2025-08-14,0
b2-p1-c1,2025-08-28,12.9
b2-p1-c1,2025-09-10,15.8
b2-p1-c1,2025-09-23,16.9
b2-p1-c1,2025-10-07,15.1
b2-p1-c1,2025-10-21,8.3
b2-p1-c2,2024-09-19,14.7
b2-p1-c2,2024-10-17,19.1
b2-p1-c2,2024-11-12,21.9
b2-p1-c2,2024-11-13,16.9
b2-p1-c2,2025-01-30,18.5
b2-p1-c2,2025-03-04,19.2
b2-p1-c2,2025-04-02,11.1
b2-p1-c2,2025-04-11,9.5
b2-p1-c2,2025-04-28,13.6
b2-p1-c2,2025-05-12,9.1
b2-p1-c2,2025-05-26,22.4
b2-p1-c2,2025-06-06,18.6
b2-p1-c2,2025-06-20,7.6
b2-p1-c2,2025-07-02,2.5
b2-p1-c2,2025-07-03,5.1
b2-p1-c2,2025-07-17,12.6
b2-p1-c2,2025-07-31,20.7
b2-p1-c2,2025-08-14,3
b2-p1-c2,2025-08-28,13.5
b2-p1-c2,2025-09-10,15.9
b2-p1-c2,2025-09-23,17.5
b2-p1-c2,2025-10-07,16.4
b2-p1-c2,2025-10-21,9
b2-p1-c3,2024-09-19,12.4
b2-p1-c3,2024-10-17,16.3
b2-p1-c3,2024-11-12,19.3
b2-p1-c3,2024-11-13,14.3
b2-p1-c3,2025-01-30,19.6
b2-p1-c3,2025-03-04,17.2
b2-p1-c3,2025-04-02,11.2
b2-p1-c3,2025-04-11,8.4
b2-p1-c3,2025-04-28,13.1
b2-p1-c3,2025-05-12,7.6
b2-p1-c3,2025-05-26,19.7
b2-p1-c3,2025-06-06,5.3
b2-p1-c3,2025-06-20,0.5
b2-p1-c3,2025-07-02,1
b2-p1-c3,2025-07-03,2.8
b2-p1-c3,2025-07-17,11.4
b2-p1-c3,2025-07-31,18.5
b2-p1-c3,2025-08-14,0.5
b2-p1-c3,2025-08-28,17.5
b2-p1-c3,2025-09-10,16.1
b2-p1-c3,2025-09-23,18.7
b2-p1-c3,2025-10-07,14.3
b2-p1-c3,2025-10-21,10.8
b2-p1-c4,2024-09-19,17.3
b2-p1-c4,2024-10-17,19.7
b2-p1-c4,2024-11-12,23
b2-p1-c4,2024-11-13,17.7
b2-p1-c4,2025-01-30,20.8
b2-p1-c4,2025-03-04,20.6
b2-p1-c4,2025-04-02,15.9
b2-p1-c4,2025-04-11,10.3
b2-p1-c4,2025-04-28,15.6
b2-p1-c4,2025-05-12,12.2
b2-p1-c4,2025-05-26,23.4
b2-p1-c4,2025-06-06,17.2
b2-p1-c4,2025-06-20,9.1
b2-p1-c4,2025-07-02,4.3
b2-p1-c4,2025-07-03,6.5
b2-p1-c4,2025-07-17,11.8
b2-p1-c4,2025-07-31,23
b2-p1-c4,2025-08-14,3.1
b2-p1-c4,2025-08-28,9.3
b2-p1-c4,2025-09-10,16.2
b2-p1-c4,2025-09-23,19.9
b2-p1-c4,2025-10-07,18.3
b2-p1-c4,2025-10-21,7.7
b2-p2-c1,2024-09-19,19.5
b2-p2-c1,2024-10-17,22.5
b2-p2-c1,2024-11-12,25.3
b2-p2-c1,2024-11-13,20.6
b2-p2-c1,2025-01-30,23
b2-p2-c1,2025-03-04,22.8
b2-p2-c1,2025-04-02,17
b2-p2-c1,2025-04-11,10.8
b2-p2-c1,2025-04-28,17.3
b2-p2-c1,2025-05-12,11.9
b2-p2-c1,2025-05-26,21.9
b2-p2-c1,2025-06-06,17
b2-p2-c1,2025-06-20,1.8
b2-p2-c1,2025-07-02,1.1
b2-p2-c1,2025-07-03,4.6
b2-p2-c1,2025-07-17,9.6
b2-p2-c1,2025-07-31,20.6
b2-p2-c1,2025-08-14,2
b2-p2-c1,2025-08-28,16.3
b2-p2-c1,2025-09-10,19.1
b2-p2-c1,2025-09-23,25.3
b2-p2-c1,2025-10-07,17.8
b2-p2-c1,2025-10-21,10.5
b2-p2-c2,2024-09-19,20.1
b2-p2-c2,2024-10-17,23
b2-p2-c2,2024-11-12,22.6
b2-p2-c2,2024-11-13,19.3
b2-p2-c2,2025-01-30,22.8
b2-p2-c2,2025-03-04,23.6
b2-p2-c2,2025-04-02,17.2
b2-p2-c2,2025-04-11,10.4
b2-p2-c2,2025-04-28,16.4
b2-p2-c2,2025-05-12,12.6
b2-p2-c2,2025-05-26,21.6
b2-p2-c2,2025-06-06,13
b2-p2-c2,2025-06-20,2.4
b2-p2-c2,2025-07-02,1
b2-p2-c2,2025-07-03,3
b2-p2-c2,2025-07-17,8.2
b2-p2-c2,2025-07-31,18.6
b2-p2-c2,2025-08-14,1.5
b2-p2-c2,2025-08-28,15.4
b2-p2-c2,2025-09-10,16.6
b2-p2-c2,2025-09-23,21.8
b2-p2-c2,2025-10-07,15.7
b2-p2-c2,2025-10-21,8.2
b2-p2-c3,2024-09-19,21.7
b2-p2-c3,2024-10-17,24.8
b2-p2-c3,2024-11-12,25
b2-p2-c3,2024-11-13,22.2
b2-p2-c3,2025-01-30,23.7
b2-p2-c3,2025-03-04,25.5
b2-p2-c3,2025-04-02,17.4
b2-p2-c3,2025-04-11,11.8
b2-p2-c3,2025-04-28,17.9
b2-p2-c3,2025-05-12,13.8
b2-p2-c3,2025-05-26,22.5
b2-p2-c3,2025-06-06,21.2
b2-p2-c3,2025-06-20,10.5
b2-p2-c3,2025-07-02,5.2
b2-p2-c3,2025-07-03,7.3
