tree_id,treelabel,species,boxlabel
263,b2-p3-c1-a4,quercus,b2-p3-c1
264,b2-p3-c1-b4,quercus,b2-p3-c1
265,b2-p3-c2-a1,quercus,b2-p3-c2
266,b2-p3-c2-b1,quercus,b2-p3-c2
267,b2-p3-c2-a2,quercus,b2-p3-c2
268,b2-p3-c2-b2,quercus,b2-p3-c2
269,b2-p3-c2-a3,quercus,b2-p3-c2
270,b2-p3-c2-b3,quercus,b2-p3-c2
271,b2-p3-c2-a4,quercus,b2-p3-c2
272,b2-p3-c2-b4,quercus,b2-p3-c2
273,b2-p3-c3-a1,fagus,b2-p3-c3
274,b2-p3-c3-b1,fagus,b2-p3-c3
275,b2-p3-c3-a2,fagus,b2-p3-c3
276,b2-p3-c3-b2,fagus,b2-p3-c3
277,b2-p3-c3-a3,fagus,b2-p3-c3
278,b2-p3-c3-b3,fagus,b2-p3-c3
279,b2-p3-c3-a4,fagus,b2-p3-c3
280,b2-p3-c3-b4,fagus,b2-p3-c3
281,b2-p3-c4-a1,quercus,b2-p3-c4
282,b2-p3-c4-b1,quercus,b2-p3-c4
283,b2-p3-c4-a2,quercus,b2-p3-c4
284,b2-p3-c4-b2,quercus,b2-p3-c4
285,b2-p3-c4-a3,quercus,b2-p3-c4
286,b2-p3-c4-b3,quercus,b2-p3-c4
287,b2-p3-c4-a4,quercus,b2-p3-c4
288,b2-p3-c4-b4,quercus,b2-p3-c4
289,b2-p4-c1-a1,quercus,b2-p4-c1
290,b2-p4-c1-b1,quercus,b2-p4-c1
291,b2-p4-c1-a2,quercus,b2-p4-c1
292,b2-p4-c1-b2,quercus,b2-p4-c1
293,b2-p4-c1-a3,quercus,b2-p4-c1
294,b2-p4-c1-b3,quercus,b2-p4-c1
295,b2-p4-c1-a4,quercus,b2-p4-c1
296,b2-p4-c1-b4,quercus,b2-p4-c1
297,b2-p4-c2-a1,fagus,b2-p4-c2
298,b2-p4-c2-b1,quercus,b2-p4-c2
299,b2-p4-c2-a2,quercus,b2-p4-c2
300,b2-p4-c2-b2,fagus,b2-p4-c2
301,b2-p4-c2-a3,fagus,b2-p4-c2
302,b2-p4-c2-b3,quercus,b2-p4-c2
303,b2-p4-c2-a4,quercus,b2-p4-c2
304,b2-p4-c2-b4,fagus,b2-p4-c2
305,b2-p4-c3-a1,fagus,b2-p4-c3
306,b2-p4-c3-b1,fagus,b2-p4-c3
307,b2-p4-c3-a2,fagus,b2-p4-c3
308,b2-p4-c3-b2,fagus,b2-p4-c3
309,b2-p4-c3-a3,fagus,b2-p4-c3
310,b2-p4-c3-b3,fagus,b2-p4-c3
311,b2-p4-c3-a4,fagus,b2-p4-c3
312,b2-p4-c3-b4,fagus,b2-p4-c3
313,b2-p4-c4-a1,quercus,b2-p4-c4
314,b2-p4-c4-b1,quercus,b2-p4-c4
315,b2-p4-c4-a2,quercus,b2-p4-c4
316,b2-p4-c4-b2,quercus,b2-p4-c4
317,b2-p4-c4-a3,quercus,b2-p4-c4
318,b2-p4-c4-b3,quercus,b2-p4-c4
319,b2-p4-c4-a4,quercus,b2-p4-c4
320,b2-p4-c4-b4,quercus,b2-p4-c4
321,b2-p5-c1-a1,fagus,b2-p5-c1
322,b2-p5-c1-b1,fagus,b2-p5-c1
323,b2-p5-c1-a2,fagus,b2-p5-c1
324,b2-p5-c1-b2,fagus,b2-p5-c1
325,b2-p5-c1-a3,fagus,b2-p5-c1
326,b2-p5-c1-b3,fagus,b2-p5-c1
327,b2-p5-c1-a4,fagus,b2-p5-c1
328,b2-p5-c1-b4,fagus,b2-p5-c1
329,b2-p5-c2-a1,quercus,b2-p5-c2
330,b2-p5-c2-b1,quercus,b2-p5-c2
331,b2-p5-c2-a2,quercus,b2-p5-c2
332,b2-p5-c2-b2,quercus,b2-p5-c2
333,b2-p5-c2-a3,quercus,b2-p5-c2
334,b2-p5-c2-b3,quercus,b2-p5-c2
335,b2-p5-c2-a4,quercus,b2-p5-c2
336,b2-p5-c2-b4,quercus,b2-p5-c2
337,b2-p5-c3-a1,fagus,b2-p5-c3
338,b2-p5-c3-b1,quercus,b2-p5-c3
339,b2-p5-c3-a2,quercus,b2-p5-c3
340,b2-p5-c3-b2,fagus,b2-p5-c3
341,b2-p5-c3-a3,fagus,b2-p5-c3
342,b2-p5-c3-b3,quercus,b2-p5-c3
343,b2-p5-c3-a4,quercus,b2-p5-c3
344,b2-p5-c3-b4,fagus,b2-p5-c3
345,b2-p5-c4-a1,fagus,b2-p5-c4
346,b2-p5-c4-b1,fagus,b2-p5-c4
347,b2-p5-c4-a2,fagus,b2-p5-c4
348,b2-p5-c4-b2,fagus,b2-p5-c4
349,b2-p5-c4-a3,fagus,b2-p5-c4
350,b2-p5-c4-b3,fagus,b2-p5-c4
351,b2-p5-c4-a4,fagus,b2-p5-c4
352,b2-p5-c4-b4,fagus,b2-p5-c4
353,b2-p6-c1-a1,fagus,b2-p6-c1
354,b2-p6-c1-b1,fagus,b2-p6-c1
355,b2-p6-c1-a2,fagus,b2-p6-c1
356,b2-p6-c1-b2,fagus,b2-p6-c1
357,b2-p6-c1-a3,fagus,b2-p6-c1
358,b2-p6-c1-b3,fagus,b2-p6-c1
359,b2-p6-c1-a4,fagus,b2-p6-c1
360,b2-p6-c1-b4,fagus,b2-p6-c1
361,b2-p6-c2-a1,fagus,b2-p6-c2
362,b2-p6-c2-b1,quercus,b2-p6-c2
363,b2-p6-c2-a2,quercus,b2-p6-c2
364,b2-p6-c2-b2,fagus,b2-p6-c2
365,b2-p6-c2-a3,fagus,b2-p6-c2
366,b2-p6-c2-b3,quercus,b2-p6-c2
367,b2-p6-c2-a4,quercus,b2-p6-c2
368,b2-p6-c2-b4,fagus,b2-p6-c2
369,b2-p6-c3-a1,fagus,b2-p6-c3
370,b2-p6-c3-b1,quercus,b2-p6-c3
371,b2-p6-c3-a2,quercus,b2-p6-c3
372,b2-p6-c3-b2,fagus,b2-p6-c3
373,b2-p6-c3-a3,fagus,b2-p6-c3
374,b2-p6-c3-b3,quercus,b2-p6-c3
375,b2-p6-c3-a4,quercus,b2-p6-c3
376,b2-p6-c3-b4,fagus,b2-p6-c3
377,b2-p6-c4-a1,quercus,b2-p6-c4
378,b2-p6-c4-b1,quercus,b2-p6-c4
379,b2-p6-c4-a2,quercus,b2-p6-c4
380,b2-p6-c4-b2,quercus,b2-p6-c4
381,b2-p6-c4-a3,quercus,b2-p6-c4
382,b2-p6-c4-b3,quercus,b2-p6-c4
383,b2-p6-c4-a4,quercus,b2-p6-c4
384,b2-p6-c4-b4,quercus,b2-p6-c4
385,b3-p1-c1-a1,fagus,b3-p1-c1
386,b3-p1-c1-b1,fagus,b3-p1-c1
387,b3-p1-c1-a2,fagus,b3-p1-c1
388,b3-p1-c1-b2,fagus,b3-p1-c1
389,b3-p1-c1-a3,fagus,b3-p1-c1
390,b3-p1-c1-b3,fagus,b3-p1-c1
391,b3-p1-c1-a4,fagus,b3-p1-c1
392,b3-p1-c1-b4,fagus,b3-p1-c1
393,b3-p1-c2-a1,quercus,b3-p1-c2
394,b3-p1-c2-b1,quercus,b3-p1-c2
395,b3-p1-c2-a2,quercus,b3-p1-c2
396,b3-p1-c2-b2,quercus,b3-p1-c2
397,b3-p1-c2-a3,quercus,b3-p1-c2
398,b3-p1-c2-b3,quercus,b3-p1-c2
399,b3-p1-c2-a4,quercus,b3-p1-c2
400,b3-p1-c2-b4,quercus,b3-p1-c2
401,b3-p1-c3-a1,fagus,b3-p1-c3
402,b3-p1-c3-b1,quercus,b3-p1-c3
403,b3-p1-c3-a2,quercus,b3-p1-c3
404,b3-p1-c3-b2,fagus,b3-p1-c3
405,b3-p1-c3-a3,fagus,b3-p1-c3
406,b3-p1-c3-b3,quercus,b3-p1-c3
407,b3-p1-c3-a4,quercus,b3-p1-c3
408,b3-p1-c3-b4,fagus,b3-p1-c3
409,b3-p1-c4-a1,fagus,b3-p1-c4
410,b3-p1-c4-b1,quercus,b3-p1-c4
411,b3-p1-c4-a2,quercus,b3-p1-c4
412,b3-p1-c4-b2,fagus,b3-p1-c4
413,b3-p1-c4-a3,fagus,b3-p1-c4
414,b3-p1-c4-b3,quercus,b3-p1-c4
415,b3-p1-c4-a4,quercus,b3-p1-c4
416,b3-p1-c4-b4,fagus,b3-p1-c4
417,b3-p2-c1-a1,fagus,b3-p2-c1
418,b3-p2-c1-b1,fagus,b3-p2-c1
419,b3-p2-c1-a2,fagus,b3-p2-c1
420,b3-p2-c1-b2,fagus,b3-p2-c1
421,b3-p2-c1-a3,fagus,b3-p2-c1
422,b3-p2-c1-b3,fagus,b3-p2-c1
423,b3-p2-c1-a4,fagus,b3-p2-c1
424,b3-p2-c1-b4,fagus,b3-p2-c1
425,b3-p2-c2-a1,fagus,b3-p2-c2
426,b3-p2-c2-b1,quercus,b3-p2-c2
427,b3-p2-c2-a2,quercus,b3-p2-c2
428,b3-p2-c2-b2,fagus,b3-p2-c2
429,b3-p2-c2-a3,fagus,b3-p2-c2
430,b3-p2-c2-b3,quercus,b3-p2-c2
431,b3-p2-c2-a4,quercus,b3-p2-c2
432,b3-p2-c2-b4,fagus,b3-p2-c2
433,b3-p2-c3-a1,fagus,b3-p2-c3
434,b3-p2-c3-b1,quercus,b3-p2-c3
435,b3-p2-c3-a2,quercus,b3-p2-c3
436,b3-p2-c3-b2,fagus,b3-p2-c3
437,b3-p2-c3-a3,fagus,b3-p2-c3
438,b3-p2-c3-b3,quercus,b3-p2-c3
439,b3-p2-c3-a4,quercus,b3-p2-c3
440,b3-p2-c3-b4,fagus,b3-p2-c3
441,b3-p2-c4-a1,quercus,b3-p2-c4
442,b3-p2-c4-b1,quercus,b3-p2-c4
443,b3-p2-c4-a2,quercus,b3-p2-c4
444,b3-p2-c4-b2,quercus,b3-p2-c4
445,b3-p2-c4-a3,quercus,b3-p2-c4
446,b3-p2-c4-b3,quercus,b3-p2-c4
447,b3-p2-c4-a4,quercus,b3-p2-c4
448,b3-p2-c4-b4,quercus,b3-p2-c4
449,b3-p3-c1-a1,quercus,b3-p3-c1
450,b3-p3-c1-b1,quercus,b3-p3-c1
451,b3-p3-c1-a2,quercus,b3-p3-c1
452,b3-p3-c1-b2,quercus,b3-p3-c1
453,b3-p3-c1-a3,quercus,b3-p3-c1
454,b3-p3-c1-b3,quercus,b3-p3-c1
455,b3-p3-c1-a4,quercus,b3-p3-c1
456,b3-p3-c1-b4,quercus,b3-p3-c1
457,b3-p3-c2-a1,fagus,b3-p3-c2
458,b3-p3-c2-b1,fagus,b3-p3-c2
459,b3-p3-c2-a2,fagus,b3-p3-c2
460,b3-p3-c2-b2,fagus,b3-p3-c2
461,b3-p3-c2-a3,fagus,b3-p3-c2
462,b3-p3-c2-b3,fagus,b3-p3-c2
463,b3-p3-c2-a4,fagus,b3-p3-c2
464,b3-p3-c2-b4,fagus,b3-p3-c2
465,b3-p3-c3-a1,quercus,b3-p3-c3
466,b3-p3-c3-b1,quercus,b3-p3-c3
467,b3-p3-c3-a2,quercus,b3-p3-c3
468,b3-p3-c3-b2,quercus,b3-p3-c3
469,b3-p3-c3-a3,quercus,b3-p3-c3
470,b3-p3-c3-b3,quercus,b3-p3-c3
471,b3-p3-c3-a4,quercus,b3-p3-c3
472,b3-p3-c3-b4,quercus,b3-p3-c3
473,b3-p3-c4-a1,fagus,b3-p3-c4
474,b3-p3-c4-b1,fagus,b3-p3-c4
475,b3-p3-c4-a2,fagus,b3-p3-c4
476,b3-p3-c4-b2,fagus,b3-p3-c4
477,b3-p3-c4-a3,fagus,b3-p3-c4
478,b3-p3-c4-b3,fagus,b3-p3-c4
479,b3-p3-c4-a4,fagus,b3-p3-c4
480,b3-p3-c4-b4,fagus,b3-p3-c4
481,b3-p4-c1-a1,fagus,b3-p4-c1
482,b3-p4-c1-b1,fagus,b3-p4-c1
483,b3-p4-c1-a2,fagus,b3-p4-c1
484,b3-p4-c1-b2,fagus,b3-p4-c1
485,b3-p4-c1-a3,fagus,b3-p4-c1
486,b3-p4-c1-b3,fagus,b3-p4-c1
487,b3-p4-c1-a4,fagus,b3-p4-c1
488,b3-p4-c1-b4,fagus,b3-p4-c1
489,b3-p4-c2-a1,quercus,b3-p4-c2
490,b3-p4-c2-b1,quercus,b3-p4-c2
491,b3-p4-c2-a2,quercus,b3-p4-c2
492,b3-p4-c2-b2,quercus,b3-p4-c2
493,b3-p4-c2-a3,quercus,b3-p4-c2
494,b3-p4-c2-b3,quercus,b3-p4-c2
