tree_id,stage,stage_label,stage_date_raw,stage_date,doy,stage_order_conflict_nulled,stage_date_source
145,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
145,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
146,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
146,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
146,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
146,4,Stage 4,2025-04-23,2025-04-23,113,FALSE,retained
147,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
147,2,Stage 2,NA,NA,NA,FALSE,missing_raw
147,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
147,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
148,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
148,2,Stage 2,2025-04-11,2025-04-11,101,FALSE,retained
148,3,Stage 3,2025-04-15,2025-04-15,105,FALSE,retained
148,4,Stage 4,2025-04-18,2025-04-18,108,FALSE,retained
149,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
149,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
149,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
149,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
15,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
15,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
15,3,Stage 3,NA,NA,NA,FALSE,missing_raw
15,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
150,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
150,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
150,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
150,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
151,1,Stage 1,2025-04-23,2025-04-23,113,FALSE,retained
151,2,Stage 2,2025-04-29,2025-04-29,119,FALSE,retained
151,3,Stage 3,NA,NA,NA,FALSE,missing_raw
151,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
152,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
152,2,Stage 2,NA,NA,NA,FALSE,missing_raw
152,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
152,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
153,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
153,2,Stage 2,2025-04-29,2025-04-29,119,FALSE,retained
153,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
153,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
154,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
154,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
154,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
154,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
155,1,Stage 1,2025-04-01,2025-04-01,91,FALSE,retained
155,2,Stage 2,2025-04-08,2025-04-08,98,FALSE,retained
155,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
155,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
156,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
156,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
156,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
156,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
157,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
157,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
157,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
157,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
158,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
158,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
158,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
158,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
159,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
159,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
159,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
159,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
16,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
16,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
16,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
16,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
160,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
160,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
160,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
160,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
161,1,Stage 1,2025-04-29,2025-04-29,119,FALSE,retained
161,2,Stage 2,NA,NA,NA,FALSE,missing_raw
161,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
161,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
162,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
162,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
162,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
162,4,Stage 4,2025-04-25,2025-04-25,115,FALSE,retained
163,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
163,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
163,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
163,4,Stage 4,2025-04-23,2025-04-23,113,FALSE,retained
164,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
164,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
164,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
164,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
165,1,Stage 1,2025-04-25,2025-04-25,115,FALSE,retained
165,2,Stage 2,NA,NA,NA,FALSE,missing_raw
165,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
165,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
166,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
166,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
166,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
166,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
167,1,Stage 1,2025-04-25,2025-04-25,115,FALSE,retained
167,2,Stage 2,2025-04-29,2025-04-29,119,FALSE,retained
167,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
167,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
168,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
168,2,Stage 2,NA,NA,NA,FALSE,missing_raw
168,3,Stage 3,2025-04-15,2025-04-15,105,FALSE,retained
168,4,Stage 4,2025-04-18,2025-04-18,108,FALSE,retained
169,1,Stage 1,2025-04-23,2025-04-23,113,FALSE,retained
169,2,Stage 2,2025-05-02,2025-05-02,122,FALSE,retained
169,3,Stage 3,2025-05-06,2025-05-06,126,FALSE,retained
169,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
17,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
17,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
17,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
17,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
170,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
170,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
170,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
170,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
171,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
171,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
171,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
171,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
172,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
172,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
172,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
172,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
173,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
173,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
173,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
173,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
174,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
174,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
174,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
174,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
175,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
175,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
175,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
175,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
176,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
176,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
176,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
176,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
177,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
177,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
177,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
177,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
178,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
178,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
178,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
178,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
179,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
179,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
179,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
179,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
18,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
18,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
18,3,Stage 3,2025-05-06,2025-05-06,126,FALSE,retained
18,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
180,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
180,2,Stage 2,NA,NA,NA,FALSE,missing_raw
180,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
180,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
181,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
181,2,Stage 2,NA,NA,NA,FALSE,missing_raw
181,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
181,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
182,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
182,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
182,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
182,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
183,1,Stage 1,2025-04-08,2025-04-08,98,FALSE,retained
183,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
183,3,Stage 3,2025-04-25,2025-04-25,115,FALSE,retained
183,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
184,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
184,2,Stage 2,NA,NA,NA,FALSE,missing_raw
184,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
184,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
185,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
185,2,Stage 2,2025-04-29,2025-04-29,119,FALSE,retained
185,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
185,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
186,1,Stage 1,2025-04-29,2025-04-29,119,FALSE,retained
186,2,Stage 2,2025-05-06,2025-05-06,126,FALSE,retained
186,3,Stage 3,2025-05-09,2025-05-09,129,FALSE,retained
186,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
187,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
187,2,Stage 2,2025-04-29,2025-04-29,119,FALSE,retained
187,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
187,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
188,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
188,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
188,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
188,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
189,1,Stage 1,2025-05-02,2025-05-02,122,FALSE,retained
189,2,Stage 2,2025-05-06,2025-05-06,126,FALSE,retained
189,3,Stage 3,2025-05-13,2025-05-13,133,FALSE,retained
189,4,Stage 4,2025-05-16,2025-05-16,136,FALSE,retained
19,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
19,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
19,3,Stage 3,NA,NA,NA,FALSE,missing_raw
19,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
190,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
190,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
190,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
190,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
191,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
