tree_id,date,qy
110,2025-09-10,0
110,2025-09-25,0
110,2025-10-07,0
110,2025-10-20,0
115,2025-06-18,0.6
115,2025-07-03,0.76
115,2025-07-17,0.71
115,2025-07-31,0.8300000000000001
115,2025-08-14,0.7799999999999999
115,2025-08-29,0.7799999999999999
115,2025-09-10,0.8
115,2025-09-25,0.71
115,2025-10-07,0.74
115,2025-10-20,0.7899999999999999
116,2025-06-18,0.77
116,2025-07-03,0.77
116,2025-07-17,0.81
116,2025-07-31,0.72
116,2025-08-14,0.76
116,2025-08-29,0.8
116,2025-09-10,0.75
116,2025-09-25,0.77
116,2025-10-07,0.55
116,2025-10-20,0.73
117,2025-06-18,0.8
117,2025-07-03,0.75
117,2025-07-17,0.8200000000000001
117,2025-07-31,0.8300000000000001
117,2025-08-14,0.76
117,2025-08-29,0.75
117,2025-09-10,0.7799999999999999
117,2025-09-25,0.77
117,2025-10-07,0.7
117,2025-10-20,0.73
118,2025-06-18,0.77
118,2025-07-03,0.72
118,2025-07-17,0.8
118,2025-07-31,0.8500000000000001
118,2025-08-14,0.71
118,2025-08-29,0.77
118,2025-09-10,0.7899999999999999
118,2025-09-25,0.65
118,2025-10-07,0.6699999999999999
118,2025-10-20,0.73
123,2025-06-18,0.8300000000000001
123,2025-07-03,0.76
123,2025-07-17,0.8
123,2025-07-31,0.8400000000000001
123,2025-08-14,0.8
123,2025-08-29,0.81
123,2025-09-10,0.8
123,2025-09-25,0.6699999999999999
123,2025-10-07,0.77
123,2025-10-20,0.7799999999999999
124,2025-06-18,0.8300000000000001
124,2025-07-03,0.62
124,2025-07-17,0.7799999999999999
124,2025-07-31,0.8200000000000001
124,2025-08-14,0.74
124,2025-08-29,NA
124,2025-09-10,0
124,2025-09-25,0
124,2025-10-07,0
124,2025-10-20,0
125,2025-06-18,0.8300000000000001
125,2025-07-03,0.52
125,2025-07-17,0.76
125,2025-07-31,0.8200000000000001
125,2025-08-14,0.7
125,2025-08-29,0.63
125,2025-09-10,0.6799999999999999
125,2025-09-25,0.61
125,2025-10-07,0.1
125,2025-10-20,0
126,2025-06-18,0.8200000000000001
126,2025-07-03,0.43000000000000005
126,2025-07-17,0.8
126,2025-07-31,0.7799999999999999
126,2025-08-14,0.6799999999999999
126,2025-08-29,0.75
126,2025-09-10,0.7
126,2025-09-25,0.7
126,2025-10-07,0.62
126,2025-10-20,0.73
131,2025-06-18,0.6799999999999999
131,2025-07-03,0.76
131,2025-07-17,0.76
131,2025-07-31,0.8
131,2025-08-14,0.73
131,2025-08-29,0.71
131,2025-09-10,0.7799999999999999
131,2025-09-25,0.75
131,2025-10-07,0.32
131,2025-10-20,0.52
132,2025-06-18,0.64
132,2025-07-03,0.61
132,2025-07-17,0.6
132,2025-07-31,0.7799999999999999
132,2025-08-14,0.62
132,2025-08-29,0.58
132,2025-09-10,0.63
132,2025-09-25,0.75
132,2025-10-07,0.55
132,2025-10-20,0.55
133,2025-06-18,0.65
133,2025-07-03,0.5700000000000001
133,2025-07-17,0.58
133,2025-07-31,0.77
133,2025-08-14,0.63
133,2025-08-29,0.61
133,2025-09-10,0.71
133,2025-09-25,0.73
133,2025-10-07,0.58
133,2025-10-20,0.61
134,2025-06-18,0.63
134,2025-07-03,0.55
134,2025-07-17,0.52
134,2025-07-31,0.69
134,2025-08-14,0.52
134,2025-08-29,0.49
134,2025-09-10,0.71
134,2025-09-25,0.76
134,2025-10-07,0.59
134,2025-10-20,0.5700000000000001
139,2025-06-18,0.74
139,2025-07-03,0.62
139,2025-07-17,0.5700000000000001
139,2025-07-31,0.7799999999999999
139,2025-08-14,0.72
139,2025-08-29,0.8
139,2025-09-10,0.72
139,2025-09-25,0.76
139,2025-10-07,0.71
139,2025-10-20,0.7
140,2025-06-18,0.8300000000000001
140,2025-07-03,0.7
140,2025-07-17,0.72
140,2025-07-31,0.75
140,2025-08-14,0.75
140,2025-08-29,NA
140,2025-09-10,0
140,2025-09-25,0
140,2025-10-07,0
140,2025-10-20,0
141,2025-06-18,0.74
141,2025-07-03,0.4
141,2025-07-17,0.6799999999999999
141,2025-07-31,0.61
141,2025-08-14,0.43000000000000005
141,2025-08-29,NA
141,2025-09-10,0
141,2025-09-25,0
141,2025-10-07,0
141,2025-10-20,0
142,2025-06-18,0.76
142,2025-07-03,0.41000000000000003
142,2025-07-17,0.6799999999999999
142,2025-07-31,0.76
142,2025-08-14,0.5700000000000001
142,2025-08-29,0.6799999999999999
142,2025-09-10,0.7
142,2025-09-25,0.7799999999999999
142,2025-10-07,0.51
142,2025-10-20,0.59
147,2025-06-18,0.8
147,2025-07-03,0.74
147,2025-07-17,0.8
147,2025-07-31,0.8200000000000001
147,2025-08-14,0.8
147,2025-08-29,0.72
147,2025-09-10,0.75
147,2025-09-25,0.7899999999999999
147,2025-10-07,0.77
147,2025-10-20,0.75
148,2025-06-18,0.7799999999999999
148,2025-07-03,0.72
148,2025-07-17,0.7899999999999999
148,2025-07-31,0.77
148,2025-08-14,0.7899999999999999
148,2025-08-29,0.7899999999999999
148,2025-09-10,0.74
148,2025-09-25,0.77
148,2025-10-07,0.76
148,2025-10-20,0.63
149,2025-06-18,0.76
149,2025-07-03,0.7799999999999999
149,2025-07-17,0.81
149,2025-07-31,0.7899999999999999
149,2025-08-14,0.76
149,2025-08-29,0.8
149,2025-09-10,0.71
149,2025-09-25,0.77
149,2025-10-07,0.71
149,2025-10-20,0.74
150,2025-06-18,0.69
150,2025-07-03,0.75
150,2025-07-17,0.7899999999999999
150,2025-07-31,0.7899999999999999
150,2025-08-14,0.69
150,2025-08-29,0.77
150,2025-09-10,0.71
150,2025-09-25,0.7
150,2025-10-07,0.61
150,2025-10-20,0.6599999999999999
155,2025-06-18,0.7799999999999999
155,2025-07-03,0.76
155,2025-07-17,0.7899999999999999
155,2025-07-31,0.81
155,2025-08-14,0.81
155,2025-08-29,0.74
155,2025-09-10,0.72
155,2025-09-25,0.77
155,2025-10-07,0.65
155,2025-10-20,0.6799999999999999
156,2025-06-18,0.8
156,2025-07-03,0.55
156,2025-07-17,0.77
156,2025-07-31,0.76
156,2025-08-14,0.7799999999999999
156,2025-08-29,0.73
156,2025-09-10,0.75
156,2025-09-25,0.75
156,2025-10-07,0.6799999999999999
156,2025-10-20,0.61
157,2025-06-18,0.77
157,2025-07-03,0.64
157,2025-07-17,0.7899999999999999
157,2025-07-31,0.7799999999999999
157,2025-08-14,0.74
157,2025-08-29,0.75
157,2025-09-10,0.7899999999999999
157,2025-09-25,0.73
157,2025-10-07,0.8
157,2025-10-20,0.71
158,2025-06-18,0.62
158,2025-07-03,0.65
158,2025-07-17,0.75
158,2025-07-31,0.77
158,2025-08-14,0.81
158,2025-08-29,0.77
158,2025-09-10,0.74
158,2025-09-25,0.74
158,2025-10-07,0.61
158,2025-10-20,0.54
163,2025-06-18,0.77
163,2025-07-03,0.81
163,2025-07-17,0.75
163,2025-07-31,0.73
163,2025-08-14,0.7899999999999999
163,2025-08-29,0.62
163,2025-09-10,0.72
163,2025-09-25,0.6699999999999999
163,2025-10-07,0.71
163,2025-10-20,0.6599999999999999
164,2025-06-18,0.71
164,2025-07-03,0.72
164,2025-07-17,0.74
164,2025-07-31,0.7899999999999999
164,2025-08-14,0.77
164,2025-08-29,0.75
164,2025-09-10,0.75
164,2025-09-25,0.75
164,2025-10-07,0.77
164,2025-10-20,0.22
165,2025-06-18,0.56
165,2025-07-03,0.74
165,2025-07-17,0.7899999999999999
165,2025-07-31,0.75
165,2025-08-14,0.7799999999999999
165,2025-08-29,0.47000000000000003
165,2025-09-10,0.74
165,2025-09-25,0.6699999999999999
165,2025-10-07,0.73
165,2025-10-20,0.6699999999999999
166,2025-06-18,0.73
166,2025-07-03,0.71
166,2025-07-17,0.77
166,2025-07-31,0.75
166,2025-08-14,0.69
166,2025-08-29,0.6599999999999999
166,2025-09-10,0.73
166,2025-09-25,0.73
166,2025-10-07,0.64
166,2025-10-20,0.44
171,2025-06-18,0.72
171,2025-07-03,0.6699999999999999
171,2025-07-17,0.77
171,2025-07-31,0.7899999999999999
171,2025-08-14,0.7799999999999999
171,2025-08-29,0.74
171,2025-09-10,0.75
171,2025-09-25,0.75
171,2025-10-07,0.6799999999999999
171,2025-10-20,0.62
172,2025-06-18,0.71
172,2025-07-03,0.73
172,2025-07-17,0.7899999999999999
172,2025-07-31,0.7899999999999999
172,2025-08-14,0.7899999999999999
172,2025-08-29,0.8
172,2025-09-10,0.71
172,2025-09-25,0.77
172,2025-10-07,0.74
172,2025-10-20,0.7
173,2025-06-18,0.76
173,2025-07-03,0.63
173,2025-07-17,0.7799999999999999
173,2025-07-31,0.77
173,2025-08-14,0.81
173,2025-08-29,0.6699999999999999
173,2025-09-10,0.76
173,2025-09-25,0.7899999999999999
173,2025-10-07,0.65
173,2025-10-20,0.71
174,2025-06-18,0.7899999999999999
174,2025-07-03,0.71
174,2025-07-17,0.74
174,2025-07-31,0.8
174,2025-08-14,0.7799999999999999
174,2025-08-29,0.6799999999999999
174,2025-09-10,0.7799999999999999
174,2025-09-25,0.75
174,2025-10-07,0.6
174,2025-10-20,0.72
179,2025-06-18,0.73
179,2025-07-03,0.6599999999999999
179,2025-07-17,0.7
179,2025-07-31,0.81
179,2025-08-14,0.8400000000000001
179,2025-08-29,0.81
179,2025-09-10,0.76
179,2025-09-25,0.7
179,2025-10-07,0.77
179,2025-10-20,0.65
180,2025-06-18,0.77
180,2025-07-03,0.8200000000000001
180,2025-07-17,0.7899999999999999
180,2025-07-31,0.77
180,2025-08-14,0.8
180,2025-08-29,0.8
180,2025-09-10,0.72
180,2025-09-25,0.75
180,2025-10-07,0.7799999999999999
180,2025-10-20,0.63
181,2025-06-18,0.74
181,2025-07-03,0.72
