boxlabel,weight_mg,d13c_permille,c_perc,d15n_permille,n_perc
b1_p6_c2,4.972,-24.674642848822774,6.518719000618235,0.22145907069881332,0.33077170777562365
b1_p6_c3,4.954,-25.361959253383574,4.833800074035557,0.7469660702448158,0.27065152476457116
b1_p6_c4,5.006,-25.336171416430204,7.773142348327211,0.7890208436258885,0.38987291390893836
b2_p1_c1,4.956,-25.98800298024011,9.271974170250568,1.9471422919081756,0.578436748171056
b2_p1_c2,4.932,-23.822742848612553,7.766867923611735,0.25293294905991076,0.42060836594046264
b2_p1_c3,4.959,-24.98099063339809,6.793305035864421,0.4336548046830792,0.3852136423482145
b2_p1_c4,4.924,-23.547732296406725,5.760013373843816,0.16606670197200968,0.30389139578330915
b2_p2_c1,4.998,-24.49332133463418,5.95081176307428,0.32819499823275966,0.3289851669249924
b2_p2_c2,5.032,-23.509581287877776,7.181138295238301,1.4401438103119633,0.3636823753916695
b2_p2_c3,4.981,-24.338157910900996,5.563488835906215,2.3989662212653404,0.3428390442193502
b2_p2_c4,4.978,-23.222678458182205,5.882877759499634,0.30288331045243044,0.3108373435894818
b2_p3_c1,4.958,-23.80575414136653,5.0059482354815055,0.9695327826181452,0.2777438733931499
b2_p3_c2,5.058,-25.154262927993805,6.045143593450361,-0.592434918323004,0.33130479351098535
b2_p3_c3,5.009,-25.220246261047727,7.175396508406546,-0.07099710782313728,0.4034367749631215
b2_p3_c4,5.001,-23.45803309369513,4.908803986506354,1.4425102130756153,0.26050886817729013
b2_p4_c1,4.966,-23.161694119628034,4.994389607809528,-1.9881205004591505,0.25440996029776486
b2_p4_c2,4.98,-24.105377542790592,5.912649714309656,-0.3205316908889678,0.3007771720212906
b2_p4_c3,4.969,-24.237245839368196,8.611470120402865,0.8978407719273711,0.4074926266349172
b2_p4_c4,5.083,-20.974390420099002,7.238333809181314,0.7889486507509919,0.2951638470102071
b2_p5_c1,5.055,-25.01305224096107,7.726176057540972,0.27491441204699263,0.4067496574874443
b2_p5_c2,4.91,-23.525071390433123,6.188992027877535,0.4497352723610963,0.3455674275339958
b2_p5_c3,4.928,-24.376355605371646,6.186395750863958,0.4593580221817606,0.33967979712756524
b2_p5_c4,5.013,-24.281012046663943,7.4962962441692556,1.1792164052414686,0.31407574492174295
b2_p6_c1,4.913,-24.209937391747154,6.999379830069435,0.4364540449527076,0.3518842744905994
b2_p6_c2,4.97,-23.663181969972094,7.235353916865437,0.957206815676471,0.3817309817087742
b2_p6_c3,5.058,-25.132695817298963,6.089094458936281,2.4460669571421114,0.36391259995051745
b2_p6_c4,5.006,-24.414249050790133,8.054912717564346,1.2092818965600518,0.3897789165940131
b3_p1_c1,4.994,-23.72304644521239,6.562343725524684,0.07505133098020006,0.33746974592997625
b3_p1_c2,5.023,-23.41598098929309,5.083694796502519,1.4880034337653094,0.2793345272481702
b3_p1_c3,4.973,-23.96238635201831,5.894839237574804,0.13759413950279392,0.32850881025085404
b3_p1_c4,4.971,-24.411941533637208,6.0985557195231435,0.2721037774066703,0.33899074749158137
b3_p2_c1,4.977,-23.99840178296833,4.623395925498422,1.044066069702401,0.28333808710693403
b3_p2_c2,4.994,-24.422729869539133,4.994983513810146,2.5160519804073536,0.31477106824364004
b3_p2_c3,4.93,-25.01518836301202,7.725875885684973,1.3831072454795328,0.400722498502347
b3_p2_c4,4.978,-24.92127284172072,6.21976696576701,1.7809642607008307,0.3685674280983794
b3_p3_c1,4.922,-25.297350161409476,8.062503001195797,-0.4214503809140263,0.45145603593627137
b3_p3_c2,4.91,-25.575012373636195,6.256416722637221,-0.6810205105771856,0.3457383946849958
b3_p3_c3,4.976,-24.29183044593209,6.949901757332989,2.2102055893267396,0.3511796142772328
b3_p3_c4,5.042,-24.221459451203682,6.203747000120611,1.2326590663570025,0.32308378903082036
b3_p4_c1,4.928,-25.83140226109722,6.1268048898873,0.6731516903725908,0.3346606498966359
b3_p4_c2,4.915,-23.72093692849766,7.093604349054632,0.7651280534195426,0.3863645698178095
b3_p4_c3,4.915,-25.10666168108921,6.485826114725247,0.06358681294885221,0.33769823830082285
b3_p4_c4,5.076,-24.63994082847276,4.853457353868761,0.13793535333148788,0.27750151963039926
b3_p5_c1,4.986,-24.844466072089972,5.672255415647553,0.8756045539837253,0.2922679709072536
b3_p5_c2,NA,NA,NA,NA,NA
b3_p5_c3,5.086,-24.02340763356262,6.543704548907767,1.5162127501597453,0.37188696415465267
b3_p5_c4,5.052,-25.647358336548994,7.750405888044925,2.434635862938029,0.41386599434140403
b3_p6_c1,5.046,-24.330435754451475,6.69026399770182,0.9404875609255476,0.3653975666540973
b3_p6_c2,4.994,-24.199358879061435,4.404251411747299,2.566374048777,0.2673950770556434
b3_p6_c3,4.927,-24.340565827249712,6.596141501999977,1.4843636614514468,0.3658711102573293
b3_p6_c4,4.982,-24.379215454922814,7.176544768928206,1.1413741818273988,0.3844157129292218
