tree_id,n_samples,weight_mm,weight_per_sample,area_mm2,weight_mg,sla_mm2_per_mg,comments
155,3,0.11074,0.03691333333333333,314.1592653589793,110.74000000000001,2.8369086631657874,NA
156,3,0.10499,0.03499666666666667,314.1592653589793,104.99,2.9922779822743055,NA
159,3,0.11515,0.03838333333333333,314.1592653589793,115.15,2.728261097342417,NA
163,4,0.07053,0.0176325,314.1592653589793,70.53,4.454264360683104,NA
165,4,0.07286,0.018215,314.1592653589793,72.86,4.311820825679101,NA
166,4,0.06732,0.01683,314.1592653589793,67.32000000000001,4.666655753995533,NA
169,3,0.11317,0.03772333333333334,314.1592653589793,113.17,2.775994215419098,NA
174,3,0.10744,0.03581333333333333,314.1592653589793,107.44,2.9240437952250495,NA
175,3,0.12417,0.04139,314.1592653589793,124.17,2.530073812990089,NA
177,4,0.06879,0.0171975,314.1592653589793,68.79,4.566932190129078,NA
178,3,0.12417,0.04139,314.1592653589793,124.17,2.530073812990089,NA
179,3,0.1248,0.0416,314.1592653589793,124.8,2.5173018057610523,NA
181,4,0.0797,0.019925,314.1592653589793,79.69999999999999,3.9417724637262155,NA
183,3,0.12793,0.04264333333333333,314.1592653589793,127.92999999999999,2.455712228241846,NA
184,4,0.07462,0.018655,314.1592653589793,74.62,4.210121486987125,NA
186,3,0.08177,0.027256666666666665,314.1592653589793,81.77,3.841986857759317,NA
188,3,0.08196,0.02732,314.1592653589793,81.96000000000001,3.833080348450211,NA
192,3,0.11133,0.03711,314.1592653589793,111.33,2.821874295867954,NA
195,4,0.06598,0.016495,314.1592653589793,65.98,4.761431727174588,NA
199,4,0.07111,0.0177775,314.1592653589793,71.11000000000001,4.417933699324698,NA
200,4,0.06133,0.0153325,314.1592653589793,61.330000000000005,5.122440328696874,NA
202,4,0.08601,0.0215025,314.1592653589793,86.01,3.652589993709793,NA
203,4,0.05918,0.014795,314.1592653589793,59.18000000000001,5.308537772203097,NA
208,4,0.08061,0.0201525,314.1592653589793,80.61,3.8972741019597983,NA
209,4,0.06173,0.0154325,314.1592653589793,61.73,5.0892477783732275,NA
210,3,0.08577,0.02859,314.1592653589793,85.77,3.6628106022965996,NA
211,3,0.06584,0.021946666666666666,314.1592653589793,65.83999999999999,4.771556278234802,NA
212,4,0.07795,0.0194875,314.1592653589793,77.95,4.030266393315963,NA
213,4,0.05344,0.01336,314.1592653589793,53.440000000000005,5.878728767944972,NA
215,3,0.11148,0.03716,314.1592653589793,111.47999999999999,2.818077371357906,NA
217,4,0.07154,0.017885,314.1592653589793,71.54,4.391379163530602,NA
219,3,0.07044,0.02348,314.1592653589793,70.44,4.459955499133722,NA
221,4,0.06296,0.01574,314.1592653589793,62.96,4.98982314737896,NA
222,3,0.10909,0.03636333333333334,314.1592653589793,109.09,2.879817264267846,NA
223,3,0.11368,0.037893333333333334,314.1592653589793,113.68,2.7635403356701205,NA
224,4,0.07029,0.0175725,314.1592653589793,70.29,4.469473116502765,NA
225,4,0.06752,0.01688,314.1592653589793,67.52,4.652832721548864,NA
226,4,0.05863,0.0146575,314.1592653589793,58.63,5.358336437983614,NA
232,4,0.08448,0.02112,314.1592653589793,84.48,3.718741303965191,NA
233,4,0.05861,0.0146525,314.1592653589793,58.61,5.36016490972495,NA
234,3,0.092322,0.030774,314.1592653589793,92.322,3.4028645973763494,NA
235,3,0.08697,0.028990000000000002,314.1592653589793,86.97,3.612271649522586,NA
236,4,0.07326,0.018315,314.1592653589793,73.26,4.288278260428328,NA
239,3,0.11505,0.03835,314.1592653589793,115.05,2.730632467266226,NA
240,4,0.07017,0.0175425,314.1592653589793,70.17,4.477116507894817,NA
241,4,0.07443,0.0186075,314.1592653589793,74.42999999999999,4.220868807725102,NA
242,3,0.12463,0.041543333333333335,314.1592653589793,124.63000000000001,2.5207354999516913,NA
243,4,0.131,0.03275,314.1592653589793,131,2.398162330984575,NA
244,4,0.06065,0.0151625,314.1592653589793,60.650000000000006,5.179872470881769,NA
247,3,0.14574,0.048580000000000005,314.1592653589793,145.74,2.15561455577727,NA
248,4,0.07377,0.0184425,314.1592653589793,73.77,4.258631765744603,NA
250,3,0.09329,0.031096666666666665,314.1592653589793,93.28999999999999,3.3675556368204456,NA
